edge_class,rtt_ms,bandwidth_gbps,measured_loopback_and_serialization_base_ms,one_way_propagation_ms,wire_transfer_ms,edge_service_ms,stage_bottleneck_ms,pipeline_service_ms,capacity_retention_percent,network_hidden_by_pipeline_ms,network_exposed_to_pipeline_ms,two_stage_sequential_latency_ms,useful_90_percent
kimi_coarse_stage_fp32_v1,0.1,0.1,0.40975000000000006,0.05,20.66264,21.12239,3.081055998802185,21.12239,14.586682656660468,3.081055998802185,18.041334001197814,26.37064596809387,False
kimi_coarse_stage_fp32_v1,0.1,0.25,0.40975000000000006,0.05,8.265056,8.724806,3.081055998802185,8.724806,35.31374793665539,3.081055998802185,5.643750001197814,13.973061968093871,False
kimi_coarse_stage_fp32_v1,0.1,0.5,0.40975000000000006,0.05,4.132528,4.592277999999999,3.081055998802185,4.592277999999999,67.09210546056195,3.081055998802185,1.5112220011978144,9.840533968093872,False
kimi_coarse_stage_fp32_v1,0.1,1.0,0.40975000000000006,0.05,2.066264,2.526014,3.081055998802185,3.081055998802185,100.0,2.526014,0.0,7.774269968093872,True
kimi_coarse_stage_fp32_v1,0.1,2.5,0.40975000000000006,0.05,0.8265056,1.2862556,3.081055998802185,3.081055998802185,100.0,1.2862556,0.0,6.534511568093873,True
kimi_coarse_stage_fp32_v1,0.1,5.0,0.40975000000000006,0.05,0.4132528,0.8730028000000001,3.081055998802185,3.081055998802185,100.0,0.8730028000000001,0.0,6.121258768093872,True
kimi_coarse_stage_fp32_v1,0.1,10.0,0.40975000000000006,0.05,0.2066264,0.6663764000000001,3.081055998802185,3.081055998802185,100.0,0.6663764000000001,0.0,5.914632368093872,True
kimi_coarse_stage_fp32_v1,0.1,25.0,0.40975000000000006,0.05,0.08265056,0.54240056,3.081055998802185,3.081055998802185,100.0,0.54240056,0.0,5.790656528093872,True
kimi_coarse_stage_fp32_v1,0.1,100.0,0.40975000000000006,0.05,0.02066264,0.48041264000000006,3.081055998802185,3.081055998802185,100.0,0.48041264000000006,0.0,5.728668608093872,True
kimi_coarse_stage_fp32_v1,0.25,0.1,0.40975000000000006,0.125,20.66264,21.19739,3.081055998802185,21.19739,14.535072472611889,3.081055998802185,18.116334001197814,26.44564596809387,False
kimi_coarse_stage_fp32_v1,0.25,0.25,0.40975000000000006,0.125,8.265056,8.799806,3.081055998802185,8.799806,35.01277185885899,3.081055998802185,5.718750001197815,14.048061968093872,False
kimi_coarse_stage_fp32_v1,0.25,0.5,0.40975000000000006,0.125,4.132528,4.667278,3.081055998802185,4.667278,66.01398071428754,3.081055998802185,1.5862220011978145,9.915533968093872,False
