workers,rtt_ms,bandwidth_gbps,transmission_ms,projected_distributed_layer_p50_ms,whole_layer_relative_throughput,break_even_vs_resident,useful_90_percent_capacity
2,0.1,0.1,12.61568,15.807951993732452,0.20644356721818832,False,False
2,0.1,0.25,5.046272,8.238543993732453,0.3961197515583699,False,False
2,0.1,0.5,2.523136,5.715407993732452,0.570991607874489,False,False
2,0.1,1.0,1.261568,4.453839993732452,0.7327272655938253,False,False
2,0.1,2.5,0.5046272,3.6968991937324525,0.8827533099990116,False,False
2,0.1,5.0,0.2523136,3.444585593732452,0.9474144018769529,False,True
2,0.1,10.0,0.1261568,3.318428793732452,0.9834322816158384,False,True
2,0.1,25.0,0.05046272,3.2427347137324523,1.0063882149162007,True,True
2,0.1,100.0,0.01261568,3.2048876737324523,1.018272817093569,True,True
2,0.25,0.1,12.61568,15.95795199373245,0.20450305911947428,False,False
2,0.25,0.25,5.046272,8.388543993732451,0.38903652438829733,False,False
2,0.25,0.5,2.523136,5.865407993732452,0.5563892577442517,False,False
2,0.25,1.0,1.261568,4.603839993732452,0.7088539142200372,False,False
2,0.25,2.5,0.5046272,3.846899193732452,0.8483326013109377,False,False
2,0.25,5.0,0.2523136,3.594585593732452,0.9078793409983552,False,True
2,0.25,10.0,0.1261568,3.468428793732452,0.9409015419019544,False,True
2,0.25,25.0,0.05046272,3.392734713732452,0.961893656698486,False,True
2,0.25,100.0,0.01261568,3.3548876737324522,0.9727449373496537,False,True
2,0.5,0.1,12.61568,16.20795199373245,0.20134869607597325,False,False
2,0.5,0.25,5.046272,8.638543993732451,0.3777777831967679,False,False
2,0.5,0.5,2.523136,6.115407993732452,0.5336438718961414,False,False
2,0.5,1.0,1.261568,4.853839993732452,0.6723439594658966,False,False
2,0.5,2.5,0.5046272,4.096899193732452,0.796565852777758,False,False
2,0.5,5.0,0.2523136,3.844585593732452,0.8488431120691303,False,False
2,0.5,10.0,0.1261568,3.718428793732452,0.8776421927187806,False,False
2,0.5,25.0,0.05046272,3.642734713732452,0.8958791283091196,False,False
2,0.5,100.0,0.01261568,3.6048876737324522,0.9052847953570402,False,True
2,1.0,0.1,12.61568,16.70795199373245,0.1953231611644681,False,False
2,1.0,0.25,5.046272,9.138543993732451,0.35710830983996944,False,False
2,1.0,0.5,2.523136,6.615407993732452,0.49331046597456224,False,False
2,1.0,1.0,1.261568,5.353839993732452,0.6095531438781143,False,False
2,1.0,2.5,0.5046272,4.596899193732452,0.7099242037870841,False,False
2,1.0,5.0,0.2523136,4.344585593732452,0.751153344684448,False,False
2,1.0,10.0,0.1261568,4.2184287937324525,0.7736174200329478,False,False
2,1.0,25.0,0.05046272,4.142734713732452,0.7877525898972544,False,False
2,1.0,100.0,0.01261568,4.104887673732452,0.795015664102848,False,False
2,2.0,0.1,12.61568,17.70795199373245,0.1842929098268995,False,False
2,2.0,0.25,5.046272,10.138543993732451,0.3218854701441778,False,False
2,2.0,0.5,2.523136,7.615407993732452,0.42853252283867754,False,False
2,2.0,1.0,1.261568,6.353839993732452,0.5136185366989299,False,False
2,2.0,2.5,0.5046272,5.596899193732452,0.5830817899408467,False,False
2,2.0,5.0,0.2523136,5.344585593732452,0.6106086136644567,False,False
2,2.0,10.0,0.1261568,5.2184287937324525,0.6253702271303457,False,False
2,2.0,25.0,0.05046272,5.142734713732452,0.6345748286968277,False,False
2,2.0,100.0,0.01261568,5.104887673732452,0.639279492238841,False,False
2,5.0,0.1,12.61568,20.70795199373245,0.15759404894253803,False,False
2,5.0,0.25,5.046272,13.138543993732453,0.24838749267474233,False,False
2,5.0,0.5,2.523136,10.615407993732454,0.30742577222908485,False,False
2,5.0,1.0,1.261568,9.353839993732453,0.3488887988448249,False,False
2,5.0,2.5,0.5046272,8.596899193732453,0.379607801191761,False,False
2,5.0,5.0,0.2523136,8.344585593732454,0.39108592791607877,False,False
2,5.0,10.0,0.1261568,8.218428793732453,0.39708928335410965,False,False
2,5.0,25.0,0.05046272,8.142734713732453,0.40078058720202425,False,False
2,5.0,100.0,0.01261568,8.104887673732453,0.40265209480653047,False,False
2,10.0,0.1,12.61568,25.70795199373245,0.12694321199898081,False,False
2,10.0,0.25,5.046272,18.138543993732455,0.1799179692222068,False,False
2,10.0,0.5,2.523136,15.615407993732454,0.2089890959819845,False,False
2,10.0,1.0,1.261568,14.353839993732453,0.22735727870904038,False,False
2,10.0,2.5,0.5046272,13.596899193732453,0.24001428219047918,False,False
2,10.0,5.0,0.2523136,13.344585593732454,0.24455236748099116,False,False
2,10.0,10.0,0.1261568,13.218428793732453,0.24688637741479316,False,False
2,10.0,25.0,0.05046272,13.142734713732453,0.248308291317036,False,False
2,10.0,100.0,0.01261568,13.104887673732453,0.24902540801942824,False,False
