context_tokens,degree,reference_wall_ms,partial_compute_sum_wall_ms,partial_compute_max_wall_ms,combine_wall_p50_ms,local_sequential_end_to_end_wall_ms,ideal_parallel_shards_plus_combine_ms,shaped_transport_ms,shaped_parallel_component_ms,ideal_parallel_component_speedup_vs_degree1_reference,partial_payload_bytes_per_worker,synchronization_count_assumed,maximum_absolute_error,relative_l2_error,repeat_bit_exact,finite,evidence_class
2048,1,49.1822,49.2166,49.2166,0.017,49.2336,49.2336,0.0,49.2336,0.998955997530142,33280,0,0.0,0.0,True,True,MEASURED_LOCAL_CPU_COMPONENT
2048,2,49.1822,48.4675,24.5635,0.02275,48.49025,24.58625,0.7459247999999999,25.3321748,1.9414914190470531,33280,2,4.85722573273506e-16,1.6417114096290975e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
2048,4,49.1822,48.0801,12.2763,0.036,48.1161,12.3123,0.7459247999999999,13.0582248,3.766377187808867,33280,2,4.440892098500626e-16,1.6482052121973203e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
2048,8,49.1822,48.377100000000006,6.6261,0.06215,48.43925000000001,6.68825,0.7459247999999999,7.4341748,6.615690553846004,33280,2,4.3021142204224816e-16,1.6069190375462322e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
8192,1,195.9981,195.2605,195.2605,0.017,195.2775,195.2775,0.0,195.2775,1.0036901332718822,33280,0,0.0,0.0,True,True,MEASURED_LOCAL_CPU_COMPONENT
8192,2,195.9981,196.25029999999998,99.1913,0.02265,196.27294999999998,99.21395,0.7459247999999999,99.9598748,1.9607677619860324,33280,2,5.204170427930421e-16,3.247385388116526e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
8192,4,195.9981,193.57080000000002,48.6792,0.0351,193.60590000000002,48.7143,0.7459247999999999,49.4602248,3.962741794897786,33280,2,4.0245584642661925e-16,3.304776837875409e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
8192,8,195.9981,192.27179999999998,25.3343,0.07975,192.35154999999997,25.41405,0.7459247999999999,26.1599748,7.492289327434673,33280,2,4.163336342344337e-16,3.206655505512022e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
32768,1,914.2977,737.0183,737.0183,0.03005,737.0483499999999,737.0483499999999,0.0,737.0483499999999,1.2404853765699362,33280,0,0.0,0.0,True,True,MEASURED_LOCAL_CPU_COMPONENT
32768,2,914.2977,687.3216,348.5775,0.02425,687.34585,348.60175,0.7459247999999999,349.3476748,2.617156964114421,33280,2,5.793976409762536e-16,6.609915149991352e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
32768,4,914.2977,765.5521,194.529,0.0347,765.5868,194.56369999999998,0.7459247999999999,195.3096248,4.681273137134203,33280,2,5.30825383648903e-16,6.610752792337895e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
32768,8,914.2977,762.4148,97.9646,0.05865,762.47345,98.02325,0.7459247999999999,98.7691748,9.256913423154366,33280,2,4.926614671774132e-16,6.387722719859162e-15,True,True,MEASURED_CPU_PLUS_SHAPED_PARALLELISM
