result_class,block_candidates,accepted_rows,chunk_rows,cache_enabled,current_total_bytes,current_attnres_bytes,cached_total_bytes,cache_seed_bytes,cache_reference_bytes,cached_attnres_total_bytes,steady_state_attnres_reduction_fraction,total_attnres_reduction_fraction,internal_boundary_bytes,coarse_boundary_bytes,cache_hits,cache_misses,invalidations
B_wavefront_only,4,5,1,False,118702080,105512960,0,0,0,0,1.0,1.0,104509440,14192640,0,0,0
C_wavefront_attnres_cache,4,5,1,True,118702080,105512960,20160640,6894080,48000,6942080,0.9995450795807453,0.9342063761645962,11680320,8480320,2000,0,0
B_wavefront_only,4,5,2,False,118702080,105512960,0,0,0,0,1.0,1.0,104509440,14192640,0,0,0
C_wavefront_attnres_cache,4,5,2,True,118702080,105512960,20124544,6888960,28800,6917760,0.9997270477484472,0.9344368691770186,11653056,8471488,1200,0,0
B_wavefront_only,4,5,4,False,118702080,105512960,0,0,0,0,1.0,1.0,104509440,14192640,0,0,0
C_wavefront_attnres_cache,4,5,4,True,118702080,105512960,20106496,6886400,19200,6905600,0.9998180318322981,0.9345521156832298,11639424,8467072,800,0,0
B_wavefront_only,7,8,1,False,189923328,168820736,0,0,0,0,1.0,1.0,167215104,22708224,0,0,0
C_wavefront_attnres_cache,7,8,1,True,189923328,168820736,32257024,11030528,76800,11107328,0.9995450795807453,0.9342063761645962,18688512,13568512,3200,0,0
B_wavefront_only,7,8,2,False,189923328,168820736,0,0,0,0,1.0,1.0,167215104,22708224,0,0,0
C_wavefront_attnres_cache,7,8,2,True,189923328,168820736,32184832,11020288,38400,11058688,0.9997725397903726,0.9344944924301242,18633984,13550848,1600,0,0
B_wavefront_only,7,8,4,False,189923328,168820736,0,0,0,0,1.0,1.0,167215104,22708224,0,0,0
C_wavefront_attnres_cache,7,8,4,True,189923328,168820736,32148736,11015168,19200,11034368,0.9998862698951864,0.9346385505628882,18606720,13542016,800,0,0
B_wavefront_only,12,13,1,False,308625408,274333696,0,0,0,0,1.0,1.0,271724544,36900864,0,0,0
C_wavefront_attnres_cache,12,13,1,True,308625408,274333696,52417664,17924608,124800,18049408,0.9995450795807453,0.9342063761645962,30368832,22048832,5200,0,0
B_wavefront_only,12,13,2,False,308625408,274333696,0,0,0,0,1.0,1.0,271724544,36900864,0,0,0
C_wavefront_attnres_cache,12,13,2,True,308625408,274333696,52309376,17909248,67200,17976448,0.9997550428511706,0.9344723296404682,30287040,22022336,2800,0,0
B_wavefront_only,12,13,4,False,308625408,274333696,0,0,0,0,1.0,1.0,271724544,36900864,0,0,0
C_wavefront_attnres_cache,12,13,4,True,308625408,274333696,52255232,17901568,38400,17939968,0.9998600244863832,0.9346053063784042,30246144,22009088,1600,0,0
B_wavefront_only,12,13,8,False,308625408,274333696,0,0,0,0,1.0,1.0,271724544,36900864,0,0,0
C_wavefront_attnres_cache,12,13,8,True,308625408,274333696,52237184,17899008,28800,17927808,0.9998950183647873,0.9346496319577162,30232512,22004672,1200,0,0
B_wavefront_only,16,17,1,False,403587072,358744064,0,0,0,0,1.0,1.0,355332096,48254976,0,0,0
C_wavefront_attnres_cache,16,17,1,True,403587072,358744064,68546176,23439872,163200,23603072,0.9995450795807453,0.9342063761645962,39713088,28833088,6800,0,0
B_wavefront_only,16,17,2,False,403587072,358744064,0,0,0,0,1.0,1.0,355332096,48254976,0,0,0
C_wavefront_attnres_cache,16,17,2,True,403587072,358744064,68401792,23419392,86400,23505792,0.9997591597780416,0.9344775444145049,39604032,28797760,3600,0,0
B_wavefront_only,16,17,4,False,403587072,358744064,0,0,0,0,1.0,1.0,355332096,48254976,0,0,0
C_wavefront_attnres_cache,16,17,4,True,403587072,358744064,68329600,23409152,48000,23457152,0.9998661998766898,0.9346131285394592,39549504,28780096,2000,0,0
B_wavefront_only,16,17,8,False,403587072,358744064,0,0,0,0,1.0,1.0,355332096,48254976,0,0,0
C_wavefront_attnres_cache,16,17,8,True,403587072,358744064,68293504,23404032,28800,23432832,0.9999197199260139,0.9346809206019364,39522240,28771264,1200,0,0
