block_candidates,accepted_rows,chunk_rows,object_type,scope,version_and_hash,producer,consumers,size_bytes,lifetime,invalidator,status,cache_hits,cache_misses,invalidations
4,5,1,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,28672,verification request,request cleanup or version mismatch,implemented,2000,0,0
4,5,2,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,57344,verification request,request cleanup or version mismatch,implemented,1200,0,0
4,5,4,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,114688,verification request,request cleanup or version mismatch,implemented,800,0,0
7,8,1,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,28672,verification request,request cleanup or version mismatch,implemented,3200,0,0
7,8,2,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,57344,verification request,request cleanup or version mismatch,implemented,1600,0,0
7,8,4,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,114688,verification request,request cleanup or version mismatch,implemented,800,0,0
12,13,1,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,28672,verification request,request cleanup or version mismatch,implemented,5200,0,0
12,13,2,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,57344,verification request,request cleanup or version mismatch,implemented,2800,0,0
12,13,4,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,114688,verification request,request cleanup or version mismatch,implemented,1600,0,0
12,13,8,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,229376,verification request,request cleanup or version mismatch,implemented,1200,0,0
16,17,1,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,28672,verification request,request cleanup or version mismatch,implemented,6800,0,0
16,17,2,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,57344,verification request,request cleanup or version mismatch,implemented,3600,0,0
16,17,4,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,114688,verification request,request cleanup or version mismatch,implemented,2000,0,0
16,17,8,completed_attnres_state,request/block/chunk,True,snapshot-producing microcell,all downstream microcells requiring snapshot,229376,verification request,request cleanup or version mismatch,implemented,1200,0,0
,,,attnres_rms_factor,request/block/chunk,True,snapshot-producing microcell,future AttnRes layers,4,verification request,snapshot version change or request cleanup,exact reference; not retained without full-layer gain,,,
,,,attnres_future_scores,request/block/chunk + model revision,True,snapshot-producing microcell,future AttnRes layers,physical receipt score_cache_bytes,verification request,snapshot/model version change or request cleanup,bit-exact reference; not retained,,,
,,,routing_metadata,request/token/layer,False,current-token router,selected expert workers,128,one routed layer,every hidden-state change,not cacheable across tokens,,,
,,,tensor_descriptors_and_static_task_maps,model/topology revision,True,persistent worker initialization,local graph executor,implementation-dependent metadata,worker lifetime,model/topology revision,implemented,,,
,,,expert_pointer_maps,request/token/layer,False,route bucketizer,local expert executor,route-dependent,one routed layer,route change,static descriptor cached; pointer membership remains mutable,,,
,,,loaded_repacked_expert_shard,model/layer/expert/shard revision,True,persistent worker initialization,local shard tasks,measured in microshards/shard-size.csv,worker lifetime,model revision or worker teardown,implemented in physical slice runtime,,,
,,,static_buffers_and_cuda_graph_descriptors,worker/shape/dtype/model revision,True,persistent executor preparation,local batched launches,bounded by worker capacity,worker lifetime,shape/model revision or worker teardown,static buffers implemented; CUDA graph capture not required,,,
