split_degree,batch_rows,intermediate_width_per_shard,relative_l2_error,bit_exact,route_weighted_relative_l2_error,route_weighted_pass,threshold,pass
1,1,3072,0.0,True,0.0,True,2e-06,True
1,2,3072,0.0,True,0.0,True,2e-06,True
1,4,3072,0.0,True,0.0,True,2e-06,True
1,8,3072,0.0,True,0.0,True,2e-06,True
2,1,1536,1.2664277305641938e-07,False,1.3328839212287136e-07,True,2e-06,True
2,2,1536,1.2474285264823952e-07,False,1.3074399391053913e-07,True,2e-06,True
2,4,1536,1.2594609921895124e-07,False,1.3144337020322733e-07,True,2e-06,True
2,8,1536,1.2591913825368608e-07,False,1.30472900225138e-07,True,2e-06,True
4,1,768,1.302906134740968e-07,False,1.3629988888541276e-07,True,2e-06,True
4,2,768,1.3177546402799096e-07,False,1.3601311801118848e-07,True,2e-06,True
4,4,768,1.3032986590814292e-07,False,1.3642287538250348e-07,True,2e-06,True
4,8,768,1.3162481439707465e-07,False,1.3716171137622591e-07,True,2e-06,True
8,1,384,1.3704083974056505e-07,False,1.3970070446554408e-07,True,2e-06,True
8,2,384,1.3817984295162388e-07,False,1.407686056551983e-07,True,2e-06,True
8,4,384,1.3598900938054744e-07,False,1.4002042337821803e-07,True,2e-06,True
8,8,384,1.369597484284292e-07,False,1.4150014912176305e-07,True,2e-06,True
16,1,192,1.4387202503346806e-07,False,1.499091594991858e-07,True,2e-06,True
16,2,192,1.4289920834917107e-07,False,1.4984851805650933e-07,True,2e-06,True
16,4,192,1.4413252390272364e-07,False,1.4860083343549587e-07,True,2e-06,True
16,8,192,1.4473253718370566e-07,False,1.495969677843208e-07,True,2e-06,True
32,1,96,1.5636072591148733e-07,False,1.6216936754144615e-07,True,2e-06,True
32,2,96,1.6001216848532218e-07,False,1.6145787724537324e-07,True,2e-06,True
32,4,96,1.5742751780646755e-07,False,1.6047564127959767e-07,True,2e-06,True
32,8,96,1.6263288173676473e-07,False,1.6475743432424552e-07,True,2e-06,True
