profile,rtt_ms,bandwidth_gbps,split_degree,batch_rows,physical_shard_compute_p50_ms,fanout_critical_ms,reduction_critical_ms,critical_path_ms,whole_expert_physical_wall_p50_ms,latency_margin_vs_whole_expert_ms,latency_sensible,messages,total_payload_bytes,useful_geographic_radius,evidence_class
local_microcell,0.25,25.0,8,1,0.12365000000000001,0.73986272,5.17903904,6.04255176,0.178,-5.86455176,False,255,3655680,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
fast_regional,1.0,10.0,8,1,0.12365000000000001,1.1218567999999998,7.852997599999998,9.098504399999998,0.178,-8.920504399999997,False,255,3655680,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,8,1,0.12365000000000001,3.226768,22.587376,25.937794,0.178,-25.759794,False,255,3655680,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
adverse_public_wan,20.0,0.1,8,1,0.12365000000000001,11.77588,82.43116,94.33069,0.178,-94.15269,False,255,3655680,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
local_microcell,0.25,25.0,8,2,0.13655,0.7444502399999999,5.2111516799999995,6.092151919999999,0.17875,-5.913401919999999,False,255,7311360,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
fast_regional,1.0,10.0,8,2,0.13655,1.1333255999999998,7.9332791999999985,9.203154799999998,0.17875,-9.024404799999997,False,255,7311360,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,8,2,0.13655,3.341456,23.390192,26.868198,0.17875,-26.689448,False,255,7311360,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
adverse_public_wan,20.0,0.1,8,2,0.13655,12.92276,90.45932,103.51863,0.17875,-103.33988000000001,False,255,7311360,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
local_microcell,0.25,25.0,8,4,0.15084999999999998,0.75362528,5.27537696,6.17985224,0.18430000000000002,-5.995552239999999,False,255,14622720,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
fast_regional,1.0,10.0,8,4,0.15084999999999998,1.1562632,8.0938424,9.4009556,0.18430000000000002,-9.2166556,False,255,14622720,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
regional_wan_like,5.0,1.0,8,4,0.15084999999999998,3.570832,24.995824,28.717506,0.18430000000000002,-28.533206,False,255,14622720,none-at-this-shape,SHAPED NETWORK from PHYSICAL payload/service
