split_degree,batch_rows,intermediate_width_per_shard,native_checkpoint_bytes_per_worker_max,runtime_bytes_per_worker_max,runtime_mib_per_worker_max,input_payload_bytes_per_worker,output_contribution_bytes_per_worker,local_intermediate_activation_bytes_per_worker,local_intermediate_not_transmitted,no_worker_owns_complete_expert
1,1,3072,17547264,17547264,16.734375,14336,14336,24576,True,False
1,2,3072,17547264,17547264,16.734375,28672,28672,49152,True,False
1,4,3072,17547264,17547264,16.734375,57344,57344,98304,True,False
1,8,3072,17547264,17547264,16.734375,114688,114688,196608,True,False
2,1,1536,8773632,8773632,8.3671875,14336,14336,12288,True,True
2,2,1536,8773632,8773632,8.3671875,28672,28672,24576,True,True
2,4,1536,8773632,8773632,8.3671875,57344,57344,49152,True,True
2,8,1536,8773632,8773632,8.3671875,114688,114688,98304,True,True
4,1,768,4386816,4386816,4.18359375,14336,14336,6144,True,True
4,2,768,4386816,4386816,4.18359375,28672,28672,12288,True,True
4,4,768,4386816,4386816,4.18359375,57344,57344,24576,True,True
4,8,768,4386816,4386816,4.18359375,114688,114688,49152,True,True
8,1,384,2193408,2193408,2.091796875,14336,14336,3072,True,True
8,2,384,2193408,2193408,2.091796875,28672,28672,6144,True,True
8,4,384,2193408,2193408,2.091796875,57344,57344,12288,True,True
8,8,384,2193408,2193408,2.091796875,114688,114688,24576,True,True
16,1,192,1096704,1096704,1.0458984375,14336,14336,1536,True,True
16,2,192,1096704,1096704,1.0458984375,28672,28672,3072,True,True
16,4,192,1096704,1096704,1.0458984375,57344,57344,6144,True,True
16,8,192,1096704,1096704,1.0458984375,114688,114688,12288,True,True
32,1,96,548352,548352,0.52294921875,14336,14336,768,True,True
32,2,96,548352,548352,0.52294921875,28672,28672,1536,True,True
32,4,96,548352,548352,0.52294921875,57344,57344,3072,True,True
32,8,96,548352,548352,0.52294921875,114688,114688,6144,True,True
