memory_cap_gib,stripe_degree,depth_span,chunk_rows,worker_count,pod_count,workers_per_pod,estimated_max_static_bytes,estimated_routed_expert_weight_bytes,expert_allocation_overhead_factor,estimated_max_peak_bytes,estimated_max_peak_gib,largest_expert_fraction,largest_layer_fraction_estimate,capacity_valid,invalid_reason,valid,ownership_valid,memory_evidence
20,4,1,1,372,93,4,4837136292,3930587136,1.433106575963719,7102496914,6.614715712144971,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,1,2,372,93,4,4837136292,3930587136,1.433106575963719,7102948334,6.615136129781604,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,1,4,372,93,4,4837136292,3930587136,1.433106575963719,7103851175,6.615976965986192,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,2,1,188,47,4,9087013475,7861174272,1.433106575963719,13322297033,12.40735597256571,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,2,2,188,47,4,9087013475,7861174272,1.433106575963719,13322777985,12.407803894020617,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,2,4,188,47,4,9087013475,7861174272,1.433106575963719,13323739890,12.408699737861753,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,4,1,96,24,4,17480768555,15722348544,1.433106575963719,25385087360,23.64170491695404,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,4,2,96,24,4,17480768555,15722348544,1.433106575963719,25385627376,23.642207846045494,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,4,4,96,24,4,17480768555,15722348544,1.433106575963719,25386707410,23.643213706091046,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,8,1,48,12,4,34374329174,31444697088,1.433106575963719,49611951616,46.20473051071167,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,8,2,48,12,4,34374329174,31444697088,1.433106575963719,49612609762,46.20534345693886,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,4,8,4,48,12,4,34374329174,31444697088,1.433106575963719,49613926052,46.2065693475306,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,1,1,744,93,8,2418568146,1965293568,1.0137388288648792,2727466405,2.5401510344818234,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,1,2,744,93,8,2418568146,1965293568,1.0137388288648792,2727854542,2.540512515231967,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,1,4,744,93,8,2418568146,1965293568,1.0137388288648792,2728630815,2.5412354758009315,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,2,1,376,47,8,4543506738,3930587136,1.0137388288648792,5126932560,4.774828031659126,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,2,2,376,47,8,4543506738,3930587136,1.0137388288648792,5127350229,4.775217016227543,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,2,4,376,47,8,4543506738,3930587136,1.0137388288648792,5128185568,4.7759949862957,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,4,1,192,24,8,8740384278,7861174272,1.0137388288648792,9678321160,9.013638980686665,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,4,2,192,24,8,8740384278,7861174272,1.0137388288648792,9678797893,9.014082972891629,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,4,4,192,24,8,8740384278,7861174272,1.0137388288648792,9679751360,9.01497095823288,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,8,1,96,12,8,17187164587,15722348544,1.0137388288648792,18500894587,17.23030077945441,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,8,2,96,12,8,17187164587,15722348544,1.0137388288648792,18501489449,17.23085478786379,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,8,8,4,96,12,8,17187164587,15722348544,1.0137388288648792,18502679173,17.231962804682553,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,1,1,1488,93,16,1209284073,982646784,1.0030678938241964,1353646127,1.260681196115911,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,1,2,1488,93,16,1209284073,982646784,1.0030678938241964,1354002623,1.2610132088884711,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,1,4,1488,93,16,1209284073,982646784,1.0030678938241964,1354715613,1.2616772325709462,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,2,1,752,47,16,2271753369,1965293568,1.0030678938241964,2543144468,2.3684878535568714,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,2,2,752,47,16,2271753369,1965293568,1.0030678938241964,2543530496,2.368847370147705,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,2,4,752,47,16,2271753369,1965293568,1.0030678938241964,2544302551,2.36956640239805,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,4,1,384,24,16,4370192139,3930587136,1.0030678938241964,4901849084,4.565202709287405,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,4,2,384,24,16,4370192139,3930587136,1.0030678938241964,4902294176,4.565617233514786,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,4,4,384,24,16,4370192139,3930587136,1.0030678938241964,4903184359,4.566446281038225,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,8,1,192,12,16,8593582294,7861174272,1.0030678938241964,9454925882,8.805585915222764,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,8,2,192,12,16,8593582294,7861174272,1.0030678938241964,9455489103,8.806110455654562,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,16,8,4,192,12,16,8593582294,7861174272,1.0030678938241964,9456615544,8.807159535586834,0.0625,0.0625,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,1,1,2976,93,32,604642037,491323392,1.0,692938109,0.6453489037230611,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,1,2,2976,93,32,604642037,491323392,1.0,693278783,0.6456661811098456,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,1,4,2976,93,32,604642037,491323392,1.0,693960133,0.6463007377460599,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,2,1,1504,47,32,1135876685,982646784,1.0,1269207286,1.182041397318244,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,2,2,1504,47,32,1135876685,982646784,1.0,1269577493,1.1823861794546247,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,2,4,1504,47,32,1135876685,982646784,1.0,1270317906,1.1830757427960634,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,4,1,768,24,32,2185096070,1965293568,1.0,2450907134,2.2825851421803236,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,4,2,768,24,32,2185096070,1965293568,1.0,2451336405,2.2829849319532514,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,4,4,768,24,32,2185096070,1965293568,1.0,2452194947,2.283784511499107,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,8,1,384,12,32,4296791147,3930587136,1.0,4819599850,4.488602140918374,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,8,2,384,12,32,4296791147,3930587136,1.0,4820147250,4.489111946895719,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
20,32,8,4,384,12,32,4296791147,3930587136,1.0,4821242049,4.490131557919085,0.03125,0.03125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,1,1,372,93,4,4837136292,3930587136,1.433106575963719,7102496914,6.614715712144971,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,1,2,372,93,4,4837136292,3930587136,1.433106575963719,7102948334,6.615136129781604,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,1,4,372,93,4,4837136292,3930587136,1.433106575963719,7103851175,6.615976965986192,0.25,0.25,True,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,2,1,188,47,4,9087013475,7861174272,1.433106575963719,13322297033,12.40735597256571,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,2,2,188,47,4,9087013475,7861174272,1.433106575963719,13322777985,12.407803894020617,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,2,4,188,47,4,9087013475,7861174272,1.433106575963719,13323739890,12.408699737861753,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,4,1,96,24,4,17480768555,15722348544,1.433106575963719,25385087360,23.64170491695404,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,4,2,96,24,4,17480768555,15722348544,1.433106575963719,25385627376,23.642207846045494,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,4,4,96,24,4,17480768555,15722348544,1.433106575963719,25386707410,23.643213706091046,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,8,1,48,12,4,34374329174,31444697088,1.433106575963719,49611951616,46.20473051071167,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,8,2,48,12,4,34374329174,31444697088,1.433106575963719,49612609762,46.20534345693886,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,4,8,4,48,12,4,34374329174,31444697088,1.433106575963719,49613926052,46.2065693475306,0.25,0.25,False,P4_uniform_stripes_exceed_25_percent_after_common_tensors,False,False,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,1,1,744,93,8,2418568146,1965293568,1.0137388288648792,2727466405,2.5401510344818234,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,1,2,744,93,8,2418568146,1965293568,1.0137388288648792,2727854542,2.540512515231967,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,1,4,744,93,8,2418568146,1965293568,1.0137388288648792,2728630815,2.5412354758009315,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,2,1,376,47,8,4543506738,3930587136,1.0137388288648792,5126932560,4.774828031659126,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,2,2,376,47,8,4543506738,3930587136,1.0137388288648792,5127350229,4.775217016227543,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,2,4,376,47,8,4543506738,3930587136,1.0137388288648792,5128185568,4.7759949862957,0.125,0.125,True,,True,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,4,1,192,24,8,8740384278,7861174272,1.0137388288648792,9678321160,9.013638980686665,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
8,8,4,2,192,24,8,8740384278,7861174272,1.0137388288648792,9678797893,9.014082972891629,0.125,0.125,False,estimated_worker_peak_exceeds_cap,False,True,conservative analytical prefilter; tier winner receives byte-exact manifest
