worker_memory_cap_gib,regime,rtt_ms,bandwidth_gbps,diagnostic_tok_s_per_user,exact_tok_s_per_user,target_pass_ms,worker_count,network_bytes_per_accepted_token,active_worker_seconds_per_accepted_token,average_worker_utilization,block,chunk,admissible,evidence_class
8,A,0.25,25.0,25.618837316724754,,663.5742203999978,376,141092283.29411766,0.4646088529411774,0.03165621973247366,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,B,1.0,10.0,10.17070678190609,,1671.4669260000076,376,141092283.29411766,0.4646088529411774,0.012567554286017106,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,C,5.0,1.0,2.2495751415997316,,7556.982510000024,376,141092283.29411766,0.4646088529411774,0.002779714165275628,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,D,20.0,0.1,0.49169853575776434,,34574.03015000041,376,141092336.0,0.6794873000000012,0.0008885715704148856,16,1,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,E,50.0,0.1,0.2335818147137019,,72779.63835000028,376,141092283.29411766,0.4646088529411774,0.00028862813564375385,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,A,0.25,25.0,26.68839030803621,,636.9810919199981,744,142411195.29411766,0.4646088529411734,0.01666621291379451,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,B,1.0,10.0,10.624712768858771,,1600.0432548000085,744,142411195.29411766,0.4646088529411734,0.00663485969404428,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,C,5.0,1.0,2.3525013814656055,,7226.350698000024,744,142411195.29411766,0.4646088529411734,0.0014690765704103064,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,D,20.0,0.1,0.5436500742801659,,31270.114370000403,744,142411248.0,0.6794873000000002,0.0004965098402115989,16,1,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,E,50.0,0.1,0.2443514387194864,,69571.92513000045,744,142411195.29411766,0.4646088529411734,0.0001525911850241757,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
2,A,0.25,25.0,21.5884159980579,,787.4593486399987,1488,302152304.0,1.609018300000004,0.02334419113500533,16,1,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
2,B,1.0,10.0,8.299095998609475,,2048.415876000033,1488,302152191.0588235,1.2398440764705887,0.006915043692161772,16,2,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
