schema_version,memory_cap_gib,stripe_degree,depth_span,chunk_rows,block_candidates,maximum_context,hardware_class,expert_allocation_overhead_factor,block,chunk,local_profile,inter_pod_profile,compute_slowdown,heterogeneity,jitter_fraction,activation_strategy,placement_family,target_pass_ms,exact_tok_s_per_user,total_physical_compute_work_ms,critical_path_compute_ms,network_critical_path_ms,total_network_bytes,network_bytes_per_accepted_token,worker_seconds_per_accepted_token,average_worker_utilization,p50_worker_utilization,p95_worker_utilization,active_workers,active_workers_per_token,active_workers_per_chunk,peak_simultaneous_workers,total_task_count,all_compute_resources_are_microworkers,evidence_class,regime,rtt_ms,bandwidth_gbps,protocol_software_overhead_ms_per_network_event_step,worker_count,machine_count,one_compute_worker_per_machine,logical_depth_group_count,logical_depth_groups_have_compute,logical_depth_groups_have_memory,same_host_pcie_nvlink_nccl_assumed,all_worker_links_use_same_independent_machine_profile,max_peak_memory_per_worker_bytes,max_peak_memory_per_worker_gib,total_resident_bytes,active_worker_seconds_per_accepted_token,resident_worker_seconds_per_accepted_token,network_messages_per_accepted_token,network_event_count,compute_event_count,queue_wait_ms_sum,state_wait_ms_sum,serial_waits_per_accepted_token_ms,reduction_collective_count,reduction_collective_steps,compute_work_inflation,equivalent_unsharded_compute_work_ms,compute_work_denominator_source,compute_share_of_critical_path,network_share_of_critical_path,all_compute_events_have_worker_id,all_network_events_have_explicit_edges,grouped_top16_expert_service,model_validation_status,admissible,admissibility_reason
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,7,1,independent_machine_very_fast_independent_hosts,independent_machine_very_fast_independent_hosts,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,608.8417650399997,13.139703054823148,5435.898399999991,172.53549999999942,436.3062650400038,1128738688,141092336.0,0.6794872999999989,0.023745375934903022,0.021638462990682786,0.037057904525517715,376,376,376,25,55968,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,A,0.25,25.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794872999999989,28.615562956879984,787.0,6296,49672,348.5765203200021,348.5765203200021,43.57206504000026,4440,17432,1.8219584824343935,2983.5468,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.2833831545519289,0.7166168454480768,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,12,1,independent_machine_very_fast_independent_hosts,independent_machine_very_fast_independent_hosts,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,665.1560722399989,19.54428523251817,8833.334900000003,188.7359999999993,476.4200722400045,1834200368,141092336.0,0.6794873000000003,0.03531939788051503,0.03218552892091096,0.05512074764127102,376,376,376,41,90948,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,A,0.25,25.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794873000000003,19.2383602432492,787.0,10231,80717,932.4798423200033,932.4798423200033,71.72921864000025,7215,28327,1.8219584824343973,4848.26355,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.28374693981881044,0.7162530601811969,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,16,1,independent_machine_very_fast_independent_hosts,independent_machine_very_fast_independent_hosts,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,710.2075179999985,23.936665790124792,11551.28410000002,201.6963999999992,508.5111180000051,2398569712,141092336.0,0.6794873000000012,0.04325707555514434,0.03941890122317753,0.06750857852788908,376,376,376,44,118932,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,A,0.25,25.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794873000000012,15.708119221647022,787.0,13379,105553,1602.3340058400095,1602.3340058400095,94.25494152000056,9435,37043,1.8219584824344004,6340.036949999998,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.28399643046301803,0.7160035695369902,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,7,1,independent_machine_fast_lan,independent_machine_fast_lan,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,1572.987487599993,5.085863723052309,5435.898399999991,172.53549999999942,1400.4519875999988,1128738688,141092336.0,0.6794872999999989,0.00919090374825735,0.008375400379122556,0.01434366145812443,376,376,376,24,55968,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,B,1.0,10.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794872999999989,73.93041191719968,787.0,6296,49672,845.0191007999957,845.0191007999957,105.62738759999947,4440,17432,1.8219584824343935,2983.5468,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.10968650504858611,0.8903134949514172,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,12,1,independent_machine_fast_lan,independent_machine_fast_lan,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,1717.9522555999906,7.567148596606244,8833.334900000003,188.73599999999934,1529.2162555999987,1834200368,141092336.0,0.6794873000000003,0.013674950448422258,0.012461580308891175,0.0213416291870086,376,376,376,25,90948,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,B,1.0,10.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794873000000003,49.688465238892036,787.0,10231,80717,2315.427030799983,2315.427030799983,178.1097715999987,7215,28327,1.8219584824343973,4848.26355,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.10986102750223622,0.8901389724977681,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,16,1,independent_machine_fast_lan,independent_machine_fast_lan,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,1833.9240699999887,9.269740376983059,11551.28410000002,201.69639999999927,1632.2276699999986,2398569712,141092336.0,0.6794873000000012,0.016751784203343632,0.01526540845281571,0.02614344878520537,376,376,376,26,118932,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,B,1.0,10.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794873000000012,40.56208531294093,787.0,13379,105553,4013.626539599978,4013.626539599978,236.09567879999872,9435,37043,1.8219584824344004,6340.036949999998,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.10998078017483053,0.8900192198251745,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,7,1,independent_machine_regional_independent_machines,independent_machine_regional_independent_machines,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,6969.048326000078,1.147932920791158,5435.898399999991,172.53549999999942,6796.512826000041,1128738688,141092336.0,0.6794872999999989,0.002074483619493346,0.0018904159339588815,0.003237515216507303,376,376,376,16,55968,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,C,5.0,1.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794872999999989,327.54527132200366,787.0,6296,49672,3622.657808000003,3622.657808000003,452.8322260000004,4440,17432,1.8219584824343935,2983.5468,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.02475739755689527,0.9752426024430993,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,12,1,independent_machine_regional_independent_machines,independent_machine_regional_independent_machines,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,7610.02000600009,1.7082740899170044,8833.334900000003,188.73599999999925,7421.284006000049,1834200368,141092336.0,0.6794873000000003,0.0030871025239831472,0.002813185771275326,0.00481784541579293,376,376,376,17,90948,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,C,5.0,1.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794873000000003,220.10519401969492,787.0,10231,80717,10053.134857999992,10053.134857999992,773.3180659999994,7215,28327,1.8219584824343973,4848.26355,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.02480098604881342,0.9751990139511811,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,16,1,independent_machine_regional_independent_machines,independent_machine_regional_independent_machines,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,8122.7973500001,2.0928750610773013,11551.28410000002,201.69639999999913,7921.100950000055,2398569712,141092336.0,0.6794873000000012,0.003782133043853063,0.003446546650582102,0.005902535534756324,376,376,376,17,118932,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,C,5.0,1.0,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794873000000012,179.65716491764925,787.0,13379,105553,17505.01454599992,17505.01454599992,1029.7067379999953,9435,37043,1.8219584824344004,6340.036949999998,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.02483090385112176,0.9751690961488726,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
experiment-021-independent-machine-sweep-v1,8,8,2,1,16,4096,INDEPENDENT_MACHINE_RTX5090_SHARD_SERVICE,1.0137388288648792,7,1,independent_machine_consumer_wan_like,independent_machine_consumer_wan_like,1.0,homogeneous,0.0,hybrid,D_depth_stripes_plus_E_exact_worker_wavefront,29667.15671000037,0.26965846704491625,5435.898399999991,172.53549999999942,29494.621210000165,1128738688,141092336.0,0.6794872999999989,0.00048731250982576917,0.0004440735635295686,0.0007605177746067772,376,376,376,16,55968,True,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY,D,20.0,0.1,0.04245,376,376,True,47,False,False,False,True,4826088984,4.494645617902279,1560860324864,0.6794872999999989,1394.3563653700176,787.0,6296,49672,15299.044880000027,15299.044880000027,1912.3806100000033,4440,17432,1.8219584824343935,2983.5468,E018 physical layer-89/91 controls; post-schedule diagnostic only,0.005815707305103498,0.9941842926948895,True,True,True,FAIL,False,MODEL_INVALID: ordered physical replay did not validate the resident-worker event model
