worker_memory_cap_gib,regime,worker_count,average_worker_utilization,p50_worker_utilization,p95_worker_utilization,peak_simultaneous_workers,active_worker_seconds_per_accepted_token,resident_worker_seconds_per_accepted_token,admissible
8,A,376,0.03165621973247366,0.029797721780211665,0.049571093916475024,34,0.4646088529411774,14.676700404141128,False
8,B,376,0.012567554286017106,0.011829728541095822,0.019679779173805704,24,0.4646088529411774,36.96891553976487,False
8,C,376,0.002779714165275628,0.002616520545579498,0.004352808803840924,17,0.4646088529411774,167.14267198588288,False
8,D,376,0.0008885715704148856,0.0008097291486858868,0.0013867373803976254,17,0.6794873000000012,764.6961962588326,False
8,E,376,0.00028862813564375385,0.00027168313072553087,0.0004519684453749399,16,0.4646088529411774,1609.714354094124,False
4,A,744,0.01666621291379451,0.015569614429380266,0.02582031116563452,33,0.4646088529411734,27.87729014049874,False
4,B,744,0.00663485969404428,0.006198301183576196,0.010279128361474035,25,0.4646088529411734,70.02542244536507,False
4,C,744,0.0014690765704103064,0.0013724147103384835,0.0022759828144725807,24,0.4646088529411734,316.25911290070695,False
4,D,744,0.0004965098402115989,0.0004488375013257049,0.0007666281522461758,16,0.6794873000000002,1368.527358310606,False
4,E,744,0.0001525911850241757,0.0001425510359454378,0.00023640354883478393,16,0.4646088529411734,3044.7948409835494,False
2,A,1488,0.02334419113500533,0.0227822554027505,0.03515781487363722,92,1.609018300000004,68.92585357507753,False
2,B,1488,0.006915043692161772,0.006803989445354099,0.009547157991270946,64,1.2398440764705887,179.2966366757676,False
2,C,1488,0.0015216226305931476,0.00149718566928261,0.002100806922425189,32,1.2398440764705887,814.817058804706,False
2,D,1488,0.00045573071342169575,0.00044476047373009133,0.000686359015913144,32,1.609018300000004,3530.6338866635638,False
2,E,1488,0.00015777228815409502,0.00015523849611921074,0.0002178260946288512,32,1.2398440764705887,7858.4401036235295,False
1,A,2976,0.01958733054948294,0.019315618765577157,0.02062085235495183,194,3.1708689000000043,161.8836671995462,False
1,B,2976,0.005716041735061607,0.005664536587894754,0.00590130725342565,96,2.4571209176470656,429.86406179915275,False
1,C,2976,0.001236661445070488,0.001225518344184217,0.0012767435043487593,65,2.4571209176470656,1986.8986192150642,False
1,D,2976,0.0003667122855560375,0.00036162532135553666,0.0003860617902012994,64,3.1708689000000043,8646.748486192884,False
1,E,2976,0.00012766834989524784,0.00012651797740766257,0.00013180627332518762,64,2.4571209176470656,19246.124193373944,False
