inventory_id,family,whole_tok_s,adaptive_tok_s,throughput_uplift,throughput_uplift_percent,critical_path_reduction_percent,additional_nodes_made_useful,memory_utilization_delta_percent,stranded_memory_delta_bytes,network_delta_bytes_per_token,worker_compute_delta_ms,worker_seconds_delta_per_token,adaptive_uses_sublayer,dominance_pass
coarse-friendly-01,coarse-friendly,3.9515794425444906,3.9515794425444906,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
coarse-friendly-02,coarse-friendly,4.432844365806232,4.432844365806232,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
coarse-friendly-03,coarse-friendly,4.471700121183494,4.471700121183494,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
memory-fragmented-01,memory-fragmented,3.9347173368619273,3.9347173368619273,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
memory-fragmented-03,memory-fragmented,4.003051437974919,4.003051437974919,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
memory-fragmented-05,memory-fragmented,4.010051499911449,4.010051499911449,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-01,compute-heterogeneous,3.1410780302418893,3.1410780302418893,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-02,compute-heterogeneous,3.2509674440905254,3.2509674440905254,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-03,compute-heterogeneous,3.1823848845328073,3.1823848845328073,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-04,compute-heterogeneous,3.096907984892641,3.096907984892641,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-05,compute-heterogeneous,3.2369866365807636,3.2369866365807636,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
compute-heterogeneous-06,compute-heterogeneous,3.2602253122643408,3.2602253122643408,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-01,network-heterogeneous,3.3736586679427223,3.3736586679427223,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-02,network-heterogeneous,3.26273589316046,3.26273589316046,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-03,network-heterogeneous,3.5566485585689778,3.5566485585689778,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-04,network-heterogeneous,3.7998397458508886,3.7998397458508886,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-05,network-heterogeneous,3.7894498022897327,3.7894498022897327,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
network-heterogeneous-06,network-heterogeneous,4.090534619441443,4.090534619441443,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
full-mixed-01,full-mixed,3.2050687248254857,3.2050687248254857,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
full-mixed-02,full-mixed,3.367197960109993,3.367197960109993,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
full-mixed-03,full-mixed,3.300985197716207,3.300985197716207,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,False,True
