sample_wall_time_ns,nvidia_timestamp,gpu_name,gpu_utilization_percent,memory_used_mib,memory_total_mib,temperature_c,power_w,sm_clock_mhz
1786735371818537700,2026/08/15 05:22:51.631,NVIDIA GeForce RTX 5090,0,1808,32607,51,16.41,180
1786735372371758200,2026/08/15 05:22:52.363,NVIDIA GeForce RTX 5090,23,4543,32607,52,22.58,495
1786735372918823500,2026/08/15 05:22:52.912,NVIDIA GeForce RTX 5090,6,4547,32607,52,45.14,2460
1786735373465963200,2026/08/15 05:22:53.458,NVIDIA GeForce RTX 5090,0,2305,32607,53,66.83,2467
1786735374017111800,2026/08/15 05:22:54.009,NVIDIA GeForce RTX 5090,0,2307,32607,53,66.16,2460
1786735374564863700,2026/08/15 05:22:54.556,NVIDIA GeForce RTX 5090,0,2355,32607,53,65.74,2460
1786735375110450900,2026/08/15 05:22:55.102,NVIDIA GeForce RTX 5090,2,2355,32607,53,65.61,2460
1786735375657680600,2026/08/15 05:22:55.649,NVIDIA GeForce RTX 5090,0,2403,32607,53,65.51,2460
1786735376207717900,2026/08/15 05:22:56.199,NVIDIA GeForce RTX 5090,0,2451,32607,53,65.89,2460
1786735376754217100,2026/08/15 05:22:56.746,NVIDIA GeForce RTX 5090,0,2451,32607,53,65.88,2460
1786735377298597600,2026/08/15 05:22:57.291,NVIDIA GeForce RTX 5090,0,2499,32607,53,65.86,2467
1786735377846938200,2026/08/15 05:22:57.838,NVIDIA GeForce RTX 5090,0,2603,32607,53,66.04,2460
1786735378409594900,2026/08/15 05:22:58.400,NVIDIA GeForce RTX 5090,0,2645,32607,53,66.19,2467
1786735378957490000,2026/08/15 05:22:58.949,NVIDIA GeForce RTX 5090,0,2671,32607,52,49.34,585
1786735379750489900,2026/08/15 05:22:59.497,NVIDIA GeForce RTX 5090,25,2305,32607,52,26.85,442
1786735380423294000,2026/08/15 05:23:00.313,NVIDIA GeForce RTX 5090,0,2305,32607,52,21.72,270
1786735380995759800,2026/08/15 05:23:00.987,NVIDIA GeForce RTX 5090,0,2305,32607,52,19.76,232
1786735381610834300,2026/08/15 05:23:01.581,NVIDIA GeForce RTX 5090,0,2305,32607,52,19.76,232
1786735382202258600,2026/08/15 05:23:02.181,NVIDIA GeForce RTX 5090,0,2305,32607,51,15.72,180
1786735382793203700,2026/08/15 05:23:02.776,NVIDIA GeForce RTX 5090,0,2305,32607,51,15.08,180
1786735383667093200,2026/08/15 05:23:03.387,NVIDIA GeForce RTX 5090,0,2305,32607,51,15.08,180
1786735384214384500,2026/08/15 05:23:04.206,NVIDIA GeForce RTX 5090,19,2747,32607,53,27.23,2152
1786735384766090200,2026/08/15 05:23:04.757,NVIDIA GeForce RTX 5090,5,3329,32607,53,51.44,2265
1786735385311941000,2026/08/15 05:23:05.303,NVIDIA GeForce RTX 5090,4,3921,32607,53,66.99,2332
1786735385866390300,2026/08/15 05:23:05.858,NVIDIA GeForce RTX 5090,17,4531,32607,53,67.82,2347
1786735386417731100,2026/08/15 05:23:06.409,NVIDIA GeForce RTX 5090,17,5137,32607,53,67.64,2317
1786735386964891400,2026/08/15 05:23:06.958,NVIDIA GeForce RTX 5090,5,5723,32607,53,67.55,2332
1786735387518143900,2026/08/15 05:23:07.510,NVIDIA GeForce RTX 5090,5,6327,32607,53,67.82,2347
1786735388070507300,2026/08/15 05:23:08.062,NVIDIA GeForce RTX 5090,17,6929,32607,53,68.02,2355
1786735388622004600,2026/08/15 05:23:08.614,NVIDIA GeForce RTX 5090,17,7525,32607,53,67.58,2310
1786735389165355500,2026/08/15 05:23:09.158,NVIDIA GeForce RTX 5090,5,8133,32607,53,67.45,2355
1786735389715394600,2026/08/15 05:23:09.708,NVIDIA GeForce RTX 5090,17,8723,32607,54,68.04,2340
1786735390268120800,2026/08/15 05:23:10.261,NVIDIA GeForce RTX 5090,17,9327,32607,54,67.44,2347
1786735390817202300,2026/08/15 05:23:10.810,NVIDIA GeForce RTX 5090,5,9921,32607,53,67.83,2317
1786735391367077800,2026/08/15 05:23:11.360,NVIDIA GeForce RTX 5090,5,10505,32607,54,68.38,2355
1786735391918125700,2026/08/15 05:23:11.911,NVIDIA GeForce RTX 5090,17,11115,32607,54,68.16,2340
1786735392456610600,2026/08/15 05:23:12.449,NVIDIA GeForce RTX 5090,17,11707,32607,54,67.96,2332
1786735393004990100,2026/08/15 05:23:12.998,NVIDIA GeForce RTX 5090,4,12253,32607,54,67.64,2332
1786735393554706600,2026/08/15 05:23:13.548,NVIDIA GeForce RTX 5090,17,12845,32607,54,67.18,2325
1786735394106522500,2026/08/15 05:23:14.099,NVIDIA GeForce RTX 5090,5,13449,32607,54,67.35,2325
1786735394658956100,2026/08/15 05:23:14.652,NVIDIA GeForce RTX 5090,5,14047,32607,54,68.24,2370
1786735395209207500,2026/08/15 05:23:15.202,NVIDIA GeForce RTX 5090,17,14631,32607,54,67.38,2317
1786735395758336800,2026/08/15 05:23:15.751,NVIDIA GeForce RTX 5090,5,15243,32607,54,67.68,2347
1786735396308589100,2026/08/15 05:23:16.300,NVIDIA GeForce RTX 5090,5,15831,32607,54,68.15,2340
1786735396861115200,2026/08/15 05:23:16.853,NVIDIA GeForce RTX 5090,4,16415,32607,54,67.40,2340
1786735397407880600,2026/08/15 05:23:17.401,NVIDIA GeForce RTX 5090,5,17005,32607,54,67.93,2370
1786735397960248300,2026/08/15 05:23:17.953,NVIDIA GeForce RTX 5090,17,17571,32607,54,68.40,2355
1786735398506911300,2026/08/15 05:23:18.499,NVIDIA GeForce RTX 5090,34,17785,32607,54,62.41,2040
1786735399051049300,2026/08/15 05:23:19.044,NVIDIA GeForce RTX 5090,25,17947,32607,53,52.37,1515
1786735399599252900,2026/08/15 05:23:19.589,NVIDIA GeForce RTX 5090,24,17985,32607,53,45.00,1425
1786735400177309300,2026/08/15 05:23:20.167,NVIDIA GeForce RTX 5090,0,17985,32607,55,73.92,2715
1786735400744907800,2026/08/15 05:23:20.729,NVIDIA GeForce RTX 5090,0,17985,32607,54,84.90,2842
1786735401299278600,2026/08/15 05:23:21.289,NVIDIA GeForce RTX 5090,0,17985,32607,55,85.02,2842
1786735401896685200,2026/08/15 05:23:21.885,NVIDIA GeForce RTX 5090,0,17985,32607,53,59.79,637
1786735402443483200,2026/08/15 05:23:22.434,NVIDIA GeForce RTX 5090,0,17985,32607,53,37.96,510
1786735403009839100,2026/08/15 05:23:23.000,NVIDIA GeForce RTX 5090,0,17951,32607,53,37.96,510
1786735403568660400,2026/08/15 05:23:23.559,NVIDIA GeForce RTX 5090,0,17681,32607,53,31.19,337
1786735404129815700,2026/08/15 05:23:24.121,NVIDIA GeForce RTX 5090,0,17413,32607,53,29.23,262
1786735404692747000,2026/08/15 05:23:24.682,NVIDIA GeForce RTX 5090,0,17139,32607,52,22.89,202
1786735405241979600,2026/08/15 05:23:25.231,NVIDIA GeForce RTX 5090,0,16865,32607,52,18.63,180
1786735405798890500,2026/08/15 05:23:25.791,NVIDIA GeForce RTX 5090,0,16573,32607,52,18.54,180
1786735406365192400,2026/08/15 05:23:26.355,NVIDIA GeForce RTX 5090,0,16269,32607,52,18.32,180
1786735406923427800,2026/08/15 05:23:26.914,NVIDIA GeForce RTX 5090,0,15997,32607,52,18.18,180
1786735407485135200,2026/08/15 05:23:27.477,NVIDIA GeForce RTX 5090,0,15681,32607,52,18.13,180
1786735408028795500,2026/08/15 05:23:28.021,NVIDIA GeForce RTX 5090,0,15363,32607,52,18.08,180
1786735408591542300,2026/08/15 05:23:28.583,NVIDIA GeForce RTX 5090,0,15021,32607,52,18.10,180
1786735409154861800,2026/08/15 05:23:29.146,NVIDIA GeForce RTX 5090,0,14665,32607,52,18.36,180
1786735409718218600,2026/08/15 05:23:29.710,NVIDIA GeForce RTX 5090,0,14335,32607,52,18.15,180
1786735410280223400,2026/08/15 05:23:30.271,NVIDIA GeForce RTX 5090,0,13971,32607,52,17.97,172
