inventory_id,family,scenario,planner_level,feasible,infeasible_reason,exact_tok_s_per_user,critical_path_ms,total_worker_compute_ms,network_bytes_per_target_pass,network_bytes_per_token,messages_per_target_pass,serial_waits_per_target_pass,worker_seconds_per_token,workers_used,useful_nodes,available_nodes,available_accelerator_memory_bytes,resident_memory_bytes,stranded_memory_bytes,memory_utilization_percent,projected_abstract_node_cost,chunk_rows,whole_layer_count,whole_expert_count,expert_shard_count,attention_projection_shard_count,full_mixed_count,whole_layer_percent,whole_expert_percent,expert_shard_percent,attention_projection_shard_percent,full_mixed_percent,critical_path_whole_layer_percent,critical_path_whole_expert_percent,critical_path_expert_shard_percent,critical_path_attention_projection_percent,critical_path_full_mixed_percent,optimizer_elapsed_ms,optimizer_proposals,optimizer_exact_evaluations,fallback_retained,objective_primary
coarse-friendly-01,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,E,True,,3.9515794425444906,4302.077244600049,4562.760925000033,55148544,3244032.0,471,1407,0.26839770147059017,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,46.93480000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6151.7845,24,6,True,maximize exact K3 target-only tok/s/user
coarse-friendly-02,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,E,True,,4.432844365806232,3835.0094425000398,4509.6073625000345,55635968,3272704.0,476,1412,0.2652710213235314,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,47.71009999999999,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6121.2342,24,6,True,maximize exact K3 target-only tok/s/user
coarse-friendly-03,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,E,True,,4.471700121183494,3801.686056600041,4455.5152625000355,55635968,3272704.0,476,1412,0.26208913308823734,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,48.66230000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6326.0245,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-01,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,E,True,,3.9347173368619273,4320.513659453384,5015.080154166705,55635968,3272704.0,476,1412,0.2950047149509827,49,49,84,2613319827456,1689510267298,923809560158,64.64996169040262,48.8227,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9360.3271,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-02,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,E,True,,2.500303413346326,6799.174815846747,16063.637362499789,289508096,17029888.0,4396,12032,0.9449198448529288,102,102,102,1932030640128,1701321446829,230709193299,88.05871974764773,66.22859999999999,4,49,3,37,0,4,52.68817204301075,3.225806451612903,39.784946236559136,0.0,4.301075268817205,37.61716131224381,6.664578121861423,48.03784997685911,0.0,7.680410589035127,9736.8906,24,6,False,maximize exact K3 target-only tok/s/user
memory-fragmented-03,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,E,True,,4.003051437974919,4246.760318573382,4959.6175208333725,55635968,3272704.0,476,1412,0.29174220710784543,49,49,88,2655011209216,1689510267298,965500941918,63.63476965496114,49.36099999999998,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9722.1822,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-04,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,E,True,,2.571845489235117,6610.039394340096,15587.588479166518,227422464,13377792.0,3761,10497,0.9169169693627364,106,106,106,1973722021888,1701321435258,272400586630,86.19863468061068,69.2963,4,49,4,39,0,1,52.68817204301075,4.301075268817205,41.935483870967744,0.0,1.0752688172043012,36.94289211813637,7.912963982176318,52.670170072273706,0.0,2.473973827412914,9997.5856,24,6,False,maximize exact K3 target-only tok/s/user
memory-fragmented-05,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,E,True,,4.010051499911449,4239.347050873386,5077.93210000004,55635968,3272704.0,476,1412,0.2987018882352965,49,49,92,2696702590976,1689510267298,1007192323678,62.650967628081176,48.2177,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9902.4322,24,6,True,maximize exact K3 target-only tok/s/user
memory-fragmented-06,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,E,True,,2.4733152355183377,6873.365657506766,15277.253320833084,268975360,15822080.0,4186,11522,0.898661960049005,110,110,110,2015413403648,1701321442972,314091960676,84.41550700677699,72.39880000000001,4,49,3,38,0,3,52.68817204301075,3.225806451612903,40.86021505376344,0.0,3.225806451612903,40.77949563206747,5.686663455737172,47.80641886215395,0.0,5.72742205004071,10237.7241,24,6,False,maximize exact K3 target-only tok/s/user
compute-heterogeneous-01,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,E,True,,3.1410780302418893,5412.154628546703,6872.527391666695,55148544,3244032.0,471,1407,0.4042663171568644,52,52,76,2529937063936,1689510267298,840426796638,66.78072318010594,45.2938,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9038.688,24,6,True,maximize exact K3 target-only tok/s/user
