scenario,inventory_id,changed_capability,status,feasible,before_tok_s,after_tok_s,throughput_change,before_critical_path_ms,after_critical_path_ms,replanning_ms,optimizer_reported_ms,old_placement_changed_conditions_tok_s,improvement_vs_no_replan,replan_threshold,improvement_over_threshold_triggered_new_plan,fallback_retained,changed_resource_used_after,harmful_join_ignored,beneficial_join_non_regression,beneficial_join_admitted_and_improved,manual_topology_supplied,placement_changes,changed_layers,migration_bytes,granularity_changes,nodes_added,nodes_removed,endpoint_nodes_added,endpoint_nodes_removed,wavefront_chunk_changed
JOIN_HARMFUL,full-mixed-01,dynamic-harmful,PASS,True,3.2050687248254857,3.2050687248254857,0.0,5304.098432686695,5304.098432686695,9564.3289,9545.3216,3.2050687248254857,0.0,0.01,True,True,False,True,False,False,False,0,[],0,0,0,0,0,0,False
JOIN_HARMFUL,full-mixed-02,dynamic-harmful,PASS,True,3.367197960109993,3.367197960109993,0.0,5048.708214186694,5048.708214186694,10045.6747,10026.9733,3.367197960109993,0.0,0.01,True,True,False,True,False,False,False,0,[],0,0,0,0,0,0,False
JOIN_HARMFUL,full-mixed-03,dynamic-harmful,PASS,True,3.300985197716207,3.300985197716207,0.0,5149.977652660025,5149.977652660025,10065.2602,10046.3425,3.300985197716207,0.0,0.01,True,True,False,True,False,False,False,0,[],0,0,0,0,0,0,False
JOIN_HARMFUL,full-mixed-04,dynamic-harmful,PASS,True,2.013231280621227,2.0467986995347895,0.016673404211762888,8444.136629326698,8305.653117653377,11205.7462,11152.7459,2.013231280621227,0.016673404211762888,0.01,True,False,False,True,False,False,False,87,"[0,2,4,5,6,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92]",1453750795264,20,0,6,0,0,False
JOIN_HARMFUL,full-mixed-05,dynamic-harmful,PASS,True,2.500506919817702,2.500506919817702,0.0,6798.621457620032,6798.621457620032,11327.0987,11271.9017,2.500506919817702,0.0,0.01,True,True,False,True,False,False,False,0,[],0,0,0,0,0,0,False
JOIN_USEFUL,full-mixed-01,dynamic-useful,FAIL,True,3.2050687248254857,3.2050687248254857,0.0,5304.098432686695,5304.098432686695,9583.9099,9566.9604,3.2050687248254857,0.0,0.01,True,True,False,False,True,False,False,0,[],0,0,0,0,0,0,False
JOIN_USEFUL,full-mixed-02,dynamic-useful,FAIL,True,3.367197960109993,3.367197960109993,0.0,5048.708214186694,5048.708214186694,9894.1209,9875.3436,3.367197960109993,0.0,0.01,True,True,False,False,True,False,False,0,[],0,0,0,0,0,0,False
JOIN_USEFUL,full-mixed-03,dynamic-useful,FAIL,True,3.300985197716207,3.300985197716207,0.0,5149.977652660025,5149.977652660025,10169.8134,10150.5129,3.300985197716207,0.0,0.01,True,True,False,False,True,False,False,0,[],0,0,0,0,0,0,False
JOIN_USEFUL,full-mixed-04,dynamic-useful,PASS,True,2.013231280621227,2.0840395699164067,0.03517146289984652,8444.136629326698,8157.234749953374,11208.3383,11141.9025,2.013231280621227,0.03517146289984652,0.01,True,False,True,False,True,True,False,91,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92]",1521287757824,21,1,6,0,0,False
JOIN_USEFUL,full-mixed-05,dynamic-useful,FAIL,True,2.500506919817702,2.500506919817702,0.0,6798.621457620032,6798.621457620032,11305.5267,11249.9708,2.500506919817702,0.0,0.01,True,True,False,False,True,False,False,0,[],0,0,0,0,0,0,False
