inventory_id,family,scenario,planner_level,feasible,infeasible_reason,exact_tok_s_per_user,critical_path_ms,total_worker_compute_ms,network_bytes_per_target_pass,network_bytes_per_token,messages_per_target_pass,serial_waits_per_target_pass,worker_seconds_per_token,workers_used,useful_nodes,available_nodes,available_accelerator_memory_bytes,resident_memory_bytes,stranded_memory_bytes,memory_utilization_percent,projected_abstract_node_cost,chunk_rows,whole_layer_count,whole_expert_count,expert_shard_count,attention_projection_shard_count,full_mixed_count,whole_layer_percent,whole_expert_percent,expert_shard_percent,attention_projection_shard_percent,full_mixed_percent,critical_path_whole_layer_percent,critical_path_whole_expert_percent,critical_path_expert_shard_percent,critical_path_attention_projection_percent,critical_path_full_mixed_percent,optimizer_elapsed_ms,optimizer_proposals,optimizer_exact_evaluations,fallback_retained,objective_primary
coarse-friendly-01,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,A,True,,4.217163327020019,4031.1457446000163,4268.685625000006,55148544,3244032.0,471,942,0.25109915441176506,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,46.93480000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,211.5904,24,6,False,maximize exact K3 target-only tok/s/user
coarse-friendly-02,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,A,True,,4.631481914134324,3670.531444400014,4215.000112500008,55148544,3244032.0,471,942,0.2479411830882358,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,47.71009999999999,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,155.1885,24,6,False,maximize exact K3 target-only tok/s/user
coarse-friendly-03,coarse-friendly,whole-layer-capable uniform memory; unnecessary collectives face medium links,A,True,,4.305968799015308,3948.0081704000204,4162.92840000001,55635968,3272704.0,476,947,0.24487814117647116,48,48,48,2238097391616,1689510267298,548587124318,75.48868398788056,48.66230000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,159.8364,24,6,False,maximize exact K3 target-only tok/s/user
memory-fragmented-01,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,A,True,,4.2425391272085555,4007.0343467133594,4725.5074250000025,55635968,3272704.0,476,947,0.27797102500000015,49,49,84,2613319827456,1689510267298,923809560158,64.64996169040262,48.6974,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,226.3142,24,6,False,maximize exact K3 target-only tok/s/user
memory-fragmented-02,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1932030640128,0,1932030640128,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.422,24,0,False,maximize exact K3 target-only tok/s/user
memory-fragmented-03,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,A,True,,4.495080171102037,3781.9125250066877,4672.68780416667,55635968,3272704.0,476,947,0.27486398848039234,49,49,88,2655011209216,1689510267298,965500941918,63.63476965496114,49.36099999999998,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,181.1451,24,6,False,maximize exact K3 target-only tok/s/user
memory-fragmented-04,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,106,1973722021888,0,1973722021888,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3154,24,0,False,maximize exact K3 target-only tok/s/user
memory-fragmented-05,memory-fragmented,A: whole-layer feasible with substantial sub-layer-sized stranded memory,A,True,,4.259657120974623,3990.9315508733594,4783.856800000007,55635968,3272704.0,476,947,0.281403341176471,49,49,92,2696702590976,1689510267298,1007192323678,62.650967628081176,48.2177,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,178.2445,24,6,False,maximize exact K3 target-only tok/s/user
memory-fragmented-06,memory-fragmented,B: whole-layer infeasible although total distributed memory is sufficient,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,110,2015413403648,0,2015413403648,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4252,24,0,False,maximize exact K3 target-only tok/s/user
compute-heterogeneous-01,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,A,True,,3.27804528891314,5186.017428586679,6578.452091666655,55148544,3244032.0,471,942,0.3869677700980385,52,52,76,2529937063936,1689510267298,840426796638,66.78072318010594,45.2938,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,170.1261,24,6,False,maximize exact K3 target-only tok/s/user
compute-heterogeneous-02,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,A,True,,3.4051654832460296,4992.415224353347,6362.966445833326,55148544,3244032.0,471,942,0.3742921438725486,52,52,77,2540359909376,1689510267298,850849642078,66.50672847821009,45.1631,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,171.0149,24,6,False,maximize exact K3 target-only tok/s/user
compute-heterogeneous-03,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,A,True,,3.3509617170858403,5073.170461280002,6445.876758333323,55635968,3272704.0,476,947,0.37916922107843076,52,52,78,2550782754816,1689510267298,861272487518,66.23497293558708,44.723499999999994,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,175.5161,24,6,False,maximize exact K3 target-only tok/s/user
compute-heterogeneous-04,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,A,True,,3.3158077583849783,5126.955854726676,6542.906299999989,55635968,3272704.0,476,947,0.3848768411764699,52,52,79,2561205600256,1689510267298,871695332958,65.96542921541045,46.743199999999995,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,171.0552,24,6,False,maximize exact K3 target-only tok/s/user
compute-heterogeneous-05,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,A,True,,3.4553654202653967,4919.884855100008,6387.447195833324,55148544,3244032.0,471,942,0.3757321879901956,52,52,80,2571628445696,1689510267298,882118178398,65.69807042403987,46.88820000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,230.8782,24,6,False,maximize exact K3 target-only tok/s/user
compute-heterogeneous-06,compute-heterogeneous,whole-layer feasible; slow high-memory nodes coexist with faster sub-layer-capable nodes,A,True,,3.540579639651396,4801.473693633343,6323.224529166659,55148544,3244032.0,471,942,0.37195438406862696,52,52,81,2582051291136,1689510267298,892541023838,65.4328701020762,46.44860000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,170.3729,24,6,False,maximize exact K3 target-only tok/s/user
network-heterogeneous-01,network-heterogeneous,"four locality groups with fast, medium, regional, and slow peer classes",A,True,,3.809528169485032,4462.494892720019,4194.421087500005,55635968,3272704.0,476,947,0.2467306522058827,49,49,68,2446554300416,1689510267298,757044033118,69.05672467644492,48.390200000000014,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,164.6832,24,6,False,maximize exact K3 target-only tok/s/user
network-heterogeneous-02,network-heterogeneous,"four locality groups with fast, medium, regional, and slow peer classes",A,True,,3.407368300121211,4989.187696380005,4258.561450000004,55635968,3272704.0,476,947,0.25050361470588256,49,49,69,2456977145856,1689510267298,767466878558,68.76377625846341,49.11190000000001,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,168.987,24,6,False,maximize exact K3 target-only tok/s/user
network-heterogeneous-03,network-heterogeneous,"four locality groups with fast, medium, regional, and slow peer classes",A,True,,3.9781361414701824,4273.358023820016,4101.638637500003,55635968,3272704.0,476,947,0.24127286102941195,49,49,70,2467399991296,1689510267298,777889723998,68.47330279881318,48.448899999999995,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,165.8971,24,6,False,maximize exact K3 target-only tok/s/user
network-heterogeneous-04,network-heterogeneous,"four locality groups with fast, medium, regional, and slow peer classes",A,True,,4.116388725249847,4129.833486260017,4104.7153375000025,55635968,3272704.0,476,947,0.2414538433823531,49,49,71,2477822836736,1689510267298,788312569438,68.18527306510612,49.81,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,169.8649,24,6,False,maximize exact K3 target-only tok/s/user
network-heterogeneous-05,network-heterogeneous,"four locality groups with fast, medium, regional, and slow peer classes",A,True,,4.008405216844649,4241.088183540018,4176.1715875000045,55635968,3272704.0,476,947,0.2456571522058826,49,49,72,2488245682176,1689510267298,798735414878,67.89965634826315,49.68609999999998,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,227.6796,24,6,False,maximize exact K3 target-only tok/s/user
network-heterogeneous-06,network-heterogeneous,"four locality groups with fast, medium, regional, and slow peer classes",A,True,,4.333422460748264,3922.9962354200197,4290.642187500009,55635968,3272704.0,476,947,0.2523907169117652,49,49,73,2498668527616,1689510267298,809158260318,67.61642245159968,49.3404,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,165.2634,24,6,False,maximize exact K3 target-only tok/s/user
full-mixed-01,full-mixed,whole-layer feasible; mixed memory/compute/network plus explicitly ignorable weak nodes,A,True,,3.3493161786907644,5075.662939246673,6158.78105,55635968,3272704.0,476,947,0.3622812382352941,62,62,98,2671301885952,1689510267298,981791618654,63.24669915380573,60.7916,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,185.7271,24,6,False,maximize exact K3 target-only tok/s/user
full-mixed-02,full-mixed,whole-layer feasible; mixed memory/compute/network plus explicitly ignorable weak nodes,A,True,,3.511679478791414,4840.988507826674,6431.59503333333,55635968,3272704.0,476,947,0.378329119607843,62,62,98,2671301885952,1689510267298,981791618654,63.24669915380573,61.43680000000002,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,180.2342,24,6,False,maximize exact K3 target-only tok/s/user
full-mixed-03,full-mixed,whole-layer feasible; mixed memory/compute/network plus explicitly ignorable weak nodes,A,True,,3.431859601201452,4953.582598206672,6418.887754166668,55635968,3272704.0,476,947,0.3775816325980393,62,62,98,2671301885952,1689510267298,981791618654,63.24669915380573,60.034500000000016,4,93,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,177.0872,24,6,False,maximize exact K3 target-only tok/s/user
full-mixed-04,full-mixed,whole-layer intentionally capacity-challenged; mixed memory/compute/network plus explicitly ignorable weak nodes,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,122,2616459264000,0,2616459264000,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.8036,24,0,False,maximize exact K3 target-only tok/s/user
full-mixed-05,full-mixed,whole-layer intentionally capacity-challenged; mixed memory/compute/network plus explicitly ignorable weak nodes,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,122,2616459264000,0,2616459264000,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4234,24,0,False,maximize exact K3 target-only tok/s/user
full-mixed-06,full-mixed,whole-layer intentionally capacity-challenged; mixed memory/compute/network plus explicitly ignorable weak nodes,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,122,2616459264000,0,2616459264000,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.479,24,0,False,maximize exact K3 target-only tok/s/user
