inventory_id,family,cohort,replica_count,replica_checkpoint_bytes,replica_resident_bytes,replica_resident_gib,new_nodes_activated,replica_selection_rate,efficiency_uplift_percent,throughput_uplift_percent
memory-fragmented-01,memory-fragmented,headline,0,0,0,0.0,0,0.0,0.0,0.0
memory-fragmented-03,memory-fragmented,headline,0,0,0,0.0,0,0.0,0.0,0.0
memory-fragmented-05,memory-fragmented,headline,4,7861174272,8593596026,8.003409976139665,0,0.2637037037037037,0.599857241317836,0.599857241317836
compute-heterogeneous-01,compute-heterogeneous,headline,0,0,0,0.0,0,0.0,0.0,0.0
compute-heterogeneous-02,compute-heterogeneous,headline,8,15722348544,17189132721,16.008627341128886,0,0.3212037037037037,2.088685296163595,2.088685296163595
compute-heterogeneous-03,compute-heterogeneous,headline,0,0,0,0.0,0,0.0,0.0,0.0
compute-heterogeneous-04,compute-heterogeneous,headline,0,0,0,0.0,0,0.0,0.0,0.0
compute-heterogeneous-05,compute-heterogeneous,headline,0,0,0,0.0,0,0.0,0.0,0.0
compute-heterogeneous-06,compute-heterogeneous,headline,8,15722348544,17587754601,16.379872896708548,0,0.22027777777777777,2.7149163915004992,2.7149163915005214
network-heterogeneous-01,network-heterogeneous,headline,4,7861174272,8693736663,8.096673212014139,0,0.28685185185185186,16.763540361369955,16.763540361369955
network-heterogeneous-02,network-heterogeneous,headline,10,19652935680,21484475233,20.008976788260043,1,0.31366666666666665,2.384882776994268,1.7090110814443893
network-heterogeneous-03,network-heterogeneous,headline,0,0,0,0.0,0,0.0,0.0,0.0
network-heterogeneous-04,network-heterogeneous,headline,8,15722348544,17587754601,16.379872896708548,0,0.19967592592592592,0.7224684858614605,0.7224684858614605
network-heterogeneous-05,network-heterogeneous,headline,2,3930587136,4396938650,4.094968223944306,0,0.2748148148148148,0.6331229189006748,0.6331229189006526
network-heterogeneous-06,network-heterogeneous,headline,6,11791761408,12890879207,12.005566812120378,0,0.3102469135802469,4.5395428791833,0.1880720122007462
full-mixed-01,full-mixed,headline,4,7861174272,8793877301,8.189936448819935,0,0.1424074074074074,0.9222306423405602,-0.6815387622054692
full-mixed-02,full-mixed,headline,4,7861174272,8593596026,8.003409976139665,0,0.23546296296296296,2.162461393817683,0.5674200998545986
full-mixed-03,full-mixed,headline,10,19652935680,21984693252,20.474841121584177,0,0.18385185185185185,1.4484747784769603,1.4484747784769603
coarse-friendly-01,coarse-friendly,negative_control,12,23583522816,25781273245,24.010681775398552,0,0.24589506172839506,8.030623875806508,2.741968880377943
coarse-friendly-02,coarse-friendly,negative_control,8,15722348544,17187192052,16.00681995227933,0,0.1637962962962963,0.6691492310074043,0.6691492310074265
coarse-friendly-03,coarse-friendly,negative_control,14,27514109952,30077586092,28.01193491742015,0,0.23642857142857143,5.449792372365381,1.3139115421971104
memory-fragmented-02,memory-fragmented,capacity_exploratory,16,31444697088,34374384104,32.01363990455866,0,0.15175925925925926,3.8368630730211573,3.8368630730211795
memory-fragmented-04,memory-fragmented,capacity_exploratory,18,35375284224,38771322755,36.10860812943429,0,0.19901234567901235,3.51731583519872,3.517315835198742
memory-fragmented-06,memory-fragmented,capacity_exploratory,0,0,0,0.0,0,0.0,0.0,0.0
full-mixed-04,full-mixed,capacity_exploratory,10,19652935680,21784411977,20.288314648903906,0,0.33511111111111114,8.106564997943444,2.906629681959072
full-mixed-05,full-mixed,capacity_exploratory,0,0,0,0.0,0,0.0,0.0,0.0
full-mixed-06,full-mixed,capacity_exploratory,8,15722348544,17187192052,16.00681995227933,0,0.19166666666666668,1.0872334935901673,-0.26368213890856085
