inventory_id,family,cohort,flex_pool_vs_no_alt_efficiency_percent,flex_pool_vs_u_strong_efficiency_percent,flex_free_vs_no_alt_efficiency_percent,flex_pool_actual_replica_used
memory-fragmented-01,memory-fragmented,headline,0.0,0.0,0.674793400341378,False
memory-fragmented-03,memory-fragmented,headline,0.0,0.0,1.8269379482897197,False
memory-fragmented-05,memory-fragmented,headline,0.0,0.0,0.0,False
compute-heterogeneous-01,compute-heterogeneous,headline,0.0,0.0,2.0370104690722757,False
compute-heterogeneous-02,compute-heterogeneous,headline,0.0,0.0,1.6040791087391204,False
compute-heterogeneous-03,compute-heterogeneous,headline,0.0,0.0,0.8562502929804205,False
compute-heterogeneous-04,compute-heterogeneous,headline,0.0,0.0,3.5101717586950576,False
compute-heterogeneous-05,compute-heterogeneous,headline,0.0,0.0,1.2858495036959905,False
compute-heterogeneous-06,compute-heterogeneous,headline,0.0,0.0,0.46490364989688615,False
network-heterogeneous-01,network-heterogeneous,headline,0.0,0.0,17.674901508332617,False
network-heterogeneous-02,network-heterogeneous,headline,0.0,0.0,0.0,False
network-heterogeneous-03,network-heterogeneous,headline,0.0,0.0,0.0,False
network-heterogeneous-04,network-heterogeneous,headline,0.0,0.0,0.5294095540332222,False
network-heterogeneous-05,network-heterogeneous,headline,0.0,0.0,0.0,False
network-heterogeneous-06,network-heterogeneous,headline,0.0,0.0,0.0,False
full-mixed-01,full-mixed,headline,0.0,0.0,0.0,False
full-mixed-02,full-mixed,headline,0.0,0.0,0.7316291960848043,False
full-mixed-03,full-mixed,headline,0.0,0.0,0.0,False
coarse-friendly-01,coarse-friendly,negative_control,-0.5770656189237777,3.7141641774716794,0.7242339525579178,True
coarse-friendly-02,coarse-friendly,negative_control,0.0,0.0,0.0,False
coarse-friendly-03,coarse-friendly,negative_control,-77.45070844738026,-77.0887932221718,0.17901536812936492,True
memory-fragmented-02,memory-fragmented,capacity_exploratory,1.409835652247815,-2.255411193148249,1.409835652247815,True
memory-fragmented-04,memory-fragmented,capacity_exploratory,1.6202578811848944,2.962853121239739,1.6202578811848944,True
memory-fragmented-06,memory-fragmented,capacity_exploratory,0.0,0.0,0.0,False
full-mixed-04,full-mixed,capacity_exploratory,4.504491982858205,5.728385511080436,2.906629681958939,True
full-mixed-05,full-mixed,capacity_exploratory,0.0,0.0,0.4264284777942162,False
full-mixed-06,full-mixed,capacity_exploratory,0.0,0.0,1.470480094952853,False
