inventory_id,planner_iteration,layer_id,action_type,primary_group_nodes,objective_before,objective_after,relative_gain_percent,randomization,accepted
coarse-friendly-01,1,47,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-005|coarse-027|coarse-008|coarse-023|coarse-037|coarse-039|coarse-044|coarse-019,23.325341434667966,26.65650646746074,14.28131306083149,0.0,True
coarse-friendly-01,2,6,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-008|coarse-014|coarse-018|coarse-026|coarse-017|coarse-029|coarse-043|coarse-013,26.65650646746074,29.630891624736496,11.158195695698335,0.0,True
coarse-friendly-01,3,9,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-013|coarse-021|coarse-045|coarse-047|coarse-027|coarse-044|coarse-039|coarse-017,29.630891624736496,30.34416721730836,2.4072025965509836,0.0,True
coarse-friendly-01,4,18,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-005|coarse-037|coarse-018|coarse-043|coarse-014|coarse-023|coarse-021|coarse-029,30.34416721730836,38.331531933862074,26.322570197272398,0.0,True
coarse-friendly-01,5,4,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-000|coarse-026|coarse-045|coarse-047|coarse-019|coarse-001|coarse-035|coarse-007,38.331531933862074,43.85795961253785,14.417445376853632,0.0,True
coarse-friendly-01,6,11,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-003|coarse-030|coarse-025|coarse-012|coarse-038|coarse-006|coarse-016|coarse-020,43.85795961253785,44.92310964740478,2.428635632566989,0.0,True
coarse-friendly-02,1,7,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-000|coarse-018|coarse-007|coarse-046|coarse-022|coarse-001|coarse-037|coarse-017,25.037655977216552,29.914495179104332,19.478018255085637,0.0,True
coarse-friendly-02,2,39,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-001|coarse-014|coarse-008|coarse-047|coarse-035|coarse-039|coarse-010|coarse-029,29.914495179104332,30.810359669408047,2.994750487815323,0.0,True
coarse-friendly-02,3,10,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-000|coarse-044|coarse-038|coarse-009|coarse-012|coarse-024|coarse-004|coarse-007,30.810359669408047,31.117673004934165,0.9974350797055109,0.0,True
coarse-friendly-02,4,23,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-001|coarse-035|coarse-018|coarse-012|coarse-008|coarse-039|coarse-009|coarse-037,31.117673004934165,31.307763838069526,0.6108774043136922,0.0,True
coarse-friendly-02,5,1,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,coarse-007|coarse-014|coarse-010|coarse-029|coarse-038|coarse-047|coarse-044|coarse-046,31.307763838069526,31.560743983253282,0.8080428435969456,0.0,True
memory-fragmented-01,1,5,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-small-055|frag-small-057|frag-small-075|frag-small-082|frag-small-051|frag-small-054|frag-small-056|frag-small-058,52.912164463497966,53.29103485099588,0.716036456530289,0.0,True
memory-fragmented-02,1,8,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-small-058|frag-whole-021|frag-whole-005|frag-whole-019|frag-whole-003|frag-whole-001|frag-whole-006|frag-whole-017,26.660239231028676,26.940017450051837,1.049421262122574,0.0,True
memory-fragmented-04,1,2,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-small-083|frag-small-065|frag-small-089|frag-small-090|frag-small-063|frag-small-103|frag-whole-001|frag-whole-019,28.74176233134164,28.95927179607019,0.756771495850006,0.0,True
memory-fragmented-04,2,5,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-small-072|frag-small-057|frag-small-046|frag-small-055|frag-small-100|frag-small-094|frag-small-078|frag-small-073,28.95927179607019,31.312259543088064,8.125161998504327,0.0,True
memory-fragmented-05,1,2,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-small-048|frag-small-058|frag-small-062|frag-small-074|frag-small-076|frag-small-078|frag-small-082|frag-small-086,25.522431388722232,29.631364414907026,16.099300899680102,0.0,True
memory-fragmented-05,2,11,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-small-058|frag-small-087|frag-small-088|frag-small-062|frag-small-076|frag-small-082|frag-small-074|frag-small-078,29.631364414907026,30.822839310899713,4.02099234888178,0.0,True
memory-fragmented-05,3,51,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-small-062|frag-small-086|frag-small-087|frag-small-088|frag-whole-040|frag-whole-028|frag-whole-029|frag-whole-036,30.822839310899713,31.29958150402637,1.546717316720625,0.0,True
memory-fragmented-05,4,39,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,frag-whole-043|frag-small-054|frag-small-057|frag-small-072|frag-small-091|frag-whole-046|frag-whole-034|frag-whole-042,31.29958150402637,31.57636323234545,0.8842984954398725,0.0,True
compute-heterogeneous-01,1,4,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-053|compute-spare-065|compute-spare-066|compute-spare-068|compute-spare-071|compute-spare-072|compute-spare-074|compute-spare-054,43.43264013144543,45.22179326541161,4.119374573020318,0.0,True
compute-heterogeneous-01,2,9,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-053|compute-spare-064|compute-spare-066|compute-spare-071|compute-spare-074|compute-spare-065|compute-spare-068|compute-spare-072,45.22179326541161,45.603435545252985,0.8439344225061429,0.0,True
compute-heterogeneous-02,1,5,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-055|compute-spare-060|compute-spare-065|compute-spare-071|compute-spare-066|compute-spare-072|compute-spare-073|compute-spare-057,44.7736767070817,45.05705017190294,0.6329019318094486,0.0,True
compute-heterogeneous-03,1,12,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-048|compute-spare-057|compute-spare-063|compute-spare-069|compute-spare-054|compute-spare-059|compute-spare-061|compute-spare-062,46.48042763959832,46.88739101712533,0.8755585914194786,0.0,True
compute-heterogeneous-04,1,9,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-048|compute-spare-068|compute-spare-069|compute-spare-072|compute-spare-052|compute-spare-053|compute-spare-055|compute-spare-058,46.46607913981933,47.625605447405114,2.495425327574341,0.0,True
compute-heterogeneous-05,1,1,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-052|compute-spare-059|compute-spare-061|compute-spare-075|compute-spare-056|compute-spare-063|compute-spare-066|compute-spare-068,44.61155496399314,45.362277775586264,1.6827990241520263,0.0,True
compute-heterogeneous-05,2,7,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-052|compute-spare-059|compute-spare-061|compute-spare-075|compute-spare-069|compute-spare-072|compute-spare-073|compute-spare-074,45.362277775586264,45.69093270184832,0.7245115156870208,0.0,True
compute-heterogeneous-06,1,11,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,compute-spare-049|compute-spare-068|compute-spare-073|compute-spare-080|compute-spare-051|compute-spare-052|compute-spare-053|compute-spare-058,44.07303333384195,45.0439771355537,2.2030337561681046,0.0,True
network-heterogeneous-01,1,12,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,network-main-033|network-small-056|network-small-059|network-small-062|network-main-019|network-main-020|network-main-004|network-main-032,47.88678241803755,48.3058896806268,0.8752044748602472,0.0,True
network-heterogeneous-01,2,2,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,network-main-012|network-small-049|network-small-052|network-small-067|network-main-031|network-main-044|network-small-055|network-small-065,48.3058896806268,48.81253856478042,1.0488345986448433,0.0,True
network-heterogeneous-06,1,2,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,network-main-005|network-small-062|network-main-022|network-main-037|network-main-040|network-main-042|network-main-006|network-small-053,25.975189716657823,31.511881410576336,21.315308008579613,0.0,True
network-heterogeneous-06,2,23,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,network-main-012|network-small-053|network-main-029|network-main-019|network-main-018|network-main-035|network-small-069|network-small-062,31.511881410576336,32.405304696132106,2.8351949980869984,0.0,True
network-heterogeneous-06,3,8,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,network-main-028|network-main-036|network-main-034|network-main-046|network-main-032|network-small-066|network-small-068|network-small-070,32.405304696132106,32.81989048397909,1.2793762988331459,0.0,True
full-mixed-02,1,11,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,mixed-one-040|mixed-small-075|mixed-small-078|mixed-small-080|mixed-one-051|mixed-small-065|mixed-small-068|mixed-small-070,42.152794687845365,42.5051688987226,0.8359450743104402,0.0,True
full-mixed-03,1,7,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,mixed-one-049|mixed-small-081|mixed-small-089|mixed-one-052|mixed-small-074|mixed-small-083|mixed-one-051|mixed-one-050,30.656910335354983,44.68091453368859,45.7450018443655,0.0,True
full-mixed-03,2,3,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,mixed-one-035|mixed-small-089|mixed-small-081|mixed-small-083|mixed-small-074|mixed-one-046|mixed-one-052|mixed-one-050,44.68091453368859,45.48808493892782,1.8065216741045775,0.0,True
full-mixed-05,1,1,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,mixed-one-028|mixed-small-072|mixed-small-078|mixed-small-107|mixed-small-110|mixed-small-113|mixed-one-051|mixed-one-029,40.28737969809553,46.17939292285366,14.624960146109123,0.0,True
full-mixed-05,2,43,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,mixed-small-056|mixed-small-095|mixed-small-114|mixed-small-072|mixed-small-078|mixed-small-107|mixed-small-110|mixed-small-113,46.17939292285366,46.8926705120405,1.5445798310480763,0.0,True
full-mixed-06,1,5,WHOLE_LAYER_TO_WHOLE_EXPERT_P8_UNIQUE,mixed-one-040|mixed-small-059|mixed-small-063|mixed-small-076|mixed-small-109|mixed-small-112|mixed-one-048|mixed-one-030,30.91451946420088,31.68318315041223,2.4864164138196143,0.0,True
