inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,5,coarse-039,coarse-013,512,128,0.2
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,7,coarse-018,coarse-013,384,256,0.4
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,5,coarse-039,coarse-013,435,170,0.2809917355371901
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,7,coarse-018,coarse-013,388,217,0.3586776859504132
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,5,coarse-039,coarse-013,357,128,0.2639175257731959
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,7,coarse-018,coarse-013,308,177,0.3649484536082474
coarse-friendly-01,FLEX_FREE,SHARED_NIC,64,5,5,coarse-039,coarse-013,250,75,0.23076923076923078
coarse-friendly-01,FLEX_FREE,SHARED_NIC,64,5,7,coarse-018,coarse-013,204,121,0.3723076923076923
coarse-friendly-01,FLEX_FREE,SHARED_NIC,128,5,5,coarse-039,coarse-013,478,167,0.2589147286821705
coarse-friendly-01,FLEX_FREE,SHARED_NIC,128,5,7,coarse-018,coarse-013,415,230,0.35658914728682173
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,2,0,coarse-005,coarse-045,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,2,1,coarse-027,coarse-005,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,2,4,coarse-037,coarse-005,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,1,2,7,coarse-018,coarse-045,640,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,2,0,coarse-005,coarse-045,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,2,1,coarse-027,coarse-005,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,2,4,coarse-037,coarse-005,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,8,2,7,coarse-018,coarse-045,605,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,2,0,coarse-005,coarse-045,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,2,1,coarse-027,coarse-005,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,2,4,coarse-037,coarse-005,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,32,2,7,coarse-018,coarse-045,485,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,2,0,coarse-005,coarse-045,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,2,1,coarse-027,coarse-005,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,2,4,coarse-037,coarse-005,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,64,2,7,coarse-018,coarse-045,325,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,2,0,coarse-005,coarse-045,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,2,1,coarse-027,coarse-005,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,2,4,coarse-037,coarse-005,645,0,0.0
coarse-friendly-01,FLEX_POOL,LEGACY_DIRECTED_LINK,128,2,7,coarse-018,coarse-045,645,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,2,0,coarse-005,coarse-045,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,2,1,coarse-027,coarse-005,512,128,0.2
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,2,4,coarse-037,coarse-005,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,1,2,7,coarse-018,coarse-045,640,0,0.0
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,2,0,coarse-005,coarse-045,258,347,0.5735537190082645
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,2,1,coarse-027,coarse-005,383,222,0.3669421487603306
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,2,4,coarse-037,coarse-005,364,241,0.39834710743801655
coarse-friendly-01,FLEX_POOL,SHARED_NIC,8,2,7,coarse-018,coarse-045,432,173,0.2859504132231405
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,2,0,coarse-005,coarse-045,208,277,0.5711340206185567
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,2,1,coarse-027,coarse-005,314,171,0.3525773195876289
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,2,4,coarse-037,coarse-005,287,198,0.40824742268041236
coarse-friendly-01,FLEX_POOL,SHARED_NIC,32,2,7,coarse-018,coarse-045,360,125,0.25773195876288657
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,2,0,coarse-005,coarse-045,145,180,0.5538461538461539
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,2,1,coarse-027,coarse-005,232,93,0.28615384615384615
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,2,4,coarse-037,coarse-005,196,129,0.39692307692307693
coarse-friendly-01,FLEX_POOL,SHARED_NIC,64,2,7,coarse-018,coarse-045,243,82,0.2523076923076923
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,2,0,coarse-005,coarse-045,300,345,0.5348837209302325
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,2,1,coarse-027,coarse-005,419,226,0.35038759689922483
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,2,4,coarse-037,coarse-005,399,246,0.3813953488372093
coarse-friendly-01,FLEX_POOL,SHARED_NIC,128,2,7,coarse-018,coarse-045,486,159,0.24651162790697675
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,3,0,coarse-006,coarse-038,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,3,5,coarse-037,coarse-006,512,128,0.2
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,3,6,coarse-047,coarse-006,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,3,7,coarse-034,coarse-038,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,0,coarse-000,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,1,coarse-036,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,2,coarse-046,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,3,coarse-013,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,4,coarse-047,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,5,coarse-038,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,6,coarse-012,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,6,7,coarse-025,coarse-009,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,0,coarse-007,coarse-026,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,1,coarse-024,coarse-026,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,2,coarse-045,coarse-026,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,3,coarse-036,coarse-026,384,256,0.4
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,4,coarse-018,coarse-026,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,5,coarse-034,coarse-026,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,6,coarse-037,coarse-026,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,1,27,7,coarse-011,coarse-026,640,0,0.0
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,3,0,coarse-006,coarse-038,324,281,0.4644628099173554
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,3,5,coarse-037,coarse-006,326,279,0.46115702479338844
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,3,6,coarse-047,coarse-006,339,266,0.4396694214876033
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,3,7,coarse-034,coarse-038,398,207,0.3421487603305785
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,0,coarse-000,coarse-009,548,57,0.09421487603305785
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,1,coarse-036,coarse-009,372,233,0.3851239669421488
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,2,coarse-046,coarse-009,473,132,0.21818181818181817
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,3,coarse-013,coarse-009,522,83,0.1371900826446281
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,4,coarse-047,coarse-009,446,159,0.2628099173553719
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,5,coarse-038,coarse-009,472,133,0.21983471074380165
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,6,coarse-012,coarse-009,472,133,0.21983471074380165
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,6,7,coarse-025,coarse-009,479,126,0.20826446280991737
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,0,coarse-007,coarse-026,566,39,0.06446280991735537
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,1,coarse-024,coarse-026,513,92,0.15206611570247933
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,2,coarse-045,coarse-026,496,109,0.18016528925619835
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,3,coarse-036,coarse-026,451,154,0.2545454545454545
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,4,coarse-018,coarse-026,582,23,0.03801652892561983
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,5,coarse-034,coarse-026,493,112,0.18512396694214875
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,6,coarse-037,coarse-026,440,165,0.2727272727272727
coarse-friendly-03,FLEX_FREE,SHARED_NIC,8,27,7,coarse-011,coarse-026,488,117,0.1933884297520661
coarse-friendly-03,FLEX_FREE,SHARED_NIC,32,3,0,coarse-006,coarse-038,266,219,0.4515463917525773
