inventory_id,arm,network_mode,concurrency,layer_id,logical_group_id,primary_node,alternate_node,selected_primary_count,selected_alternate_count,alternate_selection_rate
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,0,coarse-013,coarse-029,640,0,0.0
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,1,coarse-027,coarse-013,512,128,0.2
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,2,coarse-008,coarse-013,512,128,0.2
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,3,coarse-026,coarse-029,512,128,0.2
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,4,coarse-037,coarse-029,640,0,0.0
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,5,coarse-039,coarse-029,640,0,0.0
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,6,coarse-017,coarse-045,640,0,0.0
coarse-friendly-01,FLEX_FREE,SHARED_NIC,1,5,7,coarse-018,coarse-045,384,256,0.4
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,0,coarse-013,coarse-029,422,183,0.30247933884297523
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,1,coarse-027,coarse-013,358,247,0.40826446280991735
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,2,coarse-008,coarse-013,453,152,0.2512396694214876
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,3,coarse-026,coarse-029,471,134,0.22148760330578512
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,4,coarse-037,coarse-029,471,134,0.22148760330578512
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,5,coarse-039,coarse-029,448,157,0.25950413223140495
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,6,coarse-017,coarse-045,467,138,0.228099173553719
coarse-friendly-01,FLEX_FREE,SHARED_NIC,8,5,7,coarse-018,coarse-045,418,187,0.3090909090909091
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,0,coarse-013,coarse-029,340,145,0.29896907216494845
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,1,coarse-027,coarse-013,282,203,0.41855670103092785
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,2,coarse-008,coarse-013,372,113,0.2329896907216495
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,3,coarse-026,coarse-029,378,107,0.22061855670103092
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,4,coarse-037,coarse-029,390,95,0.1958762886597938
coarse-friendly-01,FLEX_FREE,SHARED_NIC,32,5,5,coarse-039,coarse-029,377,108,0.22268041237113403
