layer,layer_type,group_index,rows,sample_index,cuda_ms,input_copy_ms,output_copy_ms,outer_elapsed_ms,checkpoint_reads_in_timed_region,finite
89,KDA,0,1,0,0.9025920033454895,0.0161,0.0281,0.9991,0,True
89,KDA,0,1,1,0.8924800157546997,0.016,0.0294,0.9817,0,True
89,KDA,0,1,2,0.9032319784164429,0.0162,0.0292,0.9967,0,True
89,KDA,0,1,3,0.9044479727745056,0.0167,0.0294,0.9918,0,True
89,KDA,0,1,4,0.9019200205802917,0.0162,0.029,0.9869,0,True
89,KDA,0,1,5,0.9049599766731262,0.0171,0.028,0.9891,0,True
89,KDA,0,1,6,0.8929280042648315,0.017,0.0752,1.1047,0,True
89,KDA,0,1,7,0.9123520255088806,0.0302,0.0283,1.0496,0,True
89,KDA,0,1,8,0.9149760007858276,0.0208,0.0298,1.014,0,True
89,KDA,0,1,9,0.9142720103263855,0.0184,0.061,1.1413,0,True
89,KDA,0,1,10,0.9041600227355957,0.0251,0.0296,1.0387,0,True
89,KDA,0,1,11,0.9019839763641357,0.0169,0.0283,0.9968,0,True
89,KDA,0,1,12,0.9011520147323608,0.0132,0.0642,1.0561,0,True
89,KDA,0,1,13,0.9132159948348999,0.0912,0.0688,1.1877,0,True
89,KDA,0,1,14,0.9101759791374207,0.026,0.0301,1.0352,0,True
89,KDA,0,1,15,0.8940799832344055,0.0156,0.0289,0.9815,0,True
89,KDA,0,1,16,0.9015359878540039,0.0173,0.03,0.9909,0,True
89,KDA,0,1,17,0.9047359824180603,0.0186,0.0293,0.993,0,True
89,KDA,0,1,18,0.9029759764671326,0.0173,0.0272,0.995,0,True
89,KDA,0,1,19,0.90447998046875,0.0182,0.0352,1.0094,0,True
89,KDA,0,1,20,0.907039999961853,0.0193,0.0339,1.0279,0,True
89,KDA,0,1,21,0.9050880074501038,0.0212,0.0783,1.1187,0,True
89,KDA,0,1,22,0.9276480078697205,0.0297,0.0409,1.095,0,True
89,KDA,0,1,23,1.382464051246643,0.0206,0.0455,1.5236,0,True
89,KDA,0,1,24,0.9078080058097839,0.0209,0.0313,1.03,0,True
89,KDA,0,1,25,0.8961600065231323,0.0209,0.0373,1.0247,0,True
89,KDA,0,1,26,0.9056000113487244,0.019,0.0308,1.0148,0,True
89,KDA,0,1,27,0.9041919708251953,0.0177,0.2378,1.2679,0,True
89,KDA,0,1,28,0.9021440148353577,0.0304,0.054,1.251,0,True
89,KDA,0,1,29,0.9099519848823547,0.0255,0.0285,1.0355,0,True
89,KDA,0,1,30,0.9031360149383545,0.0174,0.042,1.0292,0,True
89,KDA,0,1,31,0.8951039910316467,0.0204,0.0709,1.0901,0,True
89,KDA,0,1,32,0.9136000275611877,0.0296,0.0557,1.1023,0,True
89,KDA,0,1,33,0.9089919924736023,0.0274,0.0568,1.0855,0,True
89,KDA,0,1,34,1.3817600011825562,0.0775,0.1515,1.7506,0,True
89,KDA,0,1,35,0.9137279987335205,0.0436,0.0304,1.0681,0,True
89,KDA,0,1,36,0.9039999842643738,0.0222,0.061,1.0752,0,True
89,KDA,0,1,37,0.9118080139160156,0.0273,0.0282,1.0393,0,True
89,KDA,0,1,38,0.9119359850883484,0.0739,0.0488,1.1361,0,True
89,KDA,0,1,39,0.9059200286865234,0.0242,0.0282,1.0262,0,True
89,KDA,0,1,40,0.9034559726715088,0.0181,0.0329,1.0166,0,True
89,KDA,0,1,41,0.9052799940109253,0.0198,0.0671,1.0957,0,True
89,KDA,0,1,42,1.3383680582046509,0.0282,0.0716,1.5685,0,True
89,KDA,0,1,43,0.9097920060157776,0.0264,0.0478,1.0848,0,True
