layer,layer_type,operation,degree,rows,p50_ms,source_layer,measurement_kind,candidate_id,evidence_class
0,DENSE,whole_layer,1,1,3.13075,0,DIRECT_PHYSICAL,layer-00:WHOLE_LAYER:p1,PHYSICAL
0,DENSE,whole_layer,1,2,6.26535,0,DIRECT_PHYSICAL,layer-00:WHOLE_LAYER:p1,PHYSICAL
0,DENSE,whole_layer,1,4,12.564499999999999,0,DIRECT_PHYSICAL,layer-00:WHOLE_LAYER:p1,PHYSICAL
1,KDA,attention_common,1,1,0.050699999999999995,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,attention_preprocess,1,1,0.3388,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,attention_reduction,8,1,1.5225,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,attention_shard,8,1,0.3079,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,expert_reduction,8,1,1.183,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,expert_stripe,8,1,0.23620000000000002,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,latent_down,8,1,0.0447,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,latent_up,8,1,0.0463,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,latent_up_reduction,8,1,1.46,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,output_state_commit,1,1,0.15115,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,post_attention_preprocess,1,1,0.3276,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,routed_norm,1,1,0.13645000000000002,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,routed_shared_reduction,2,1,1.1742,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,router,1,1,0.6472,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
1,KDA,shared_expert,8,1,0.1073,45,FRESH_PHYSICAL_TYPE_CONDITIONED,layer-01:FULL_MIXED_STRIPE:p8,PHYSICALLY_GROUNDED_MODEL_INPUT
