scenario,network_stress_percent,layer,layer_type,rows,concurrency,arm,status,warmup_blocks_per_stream,measured_blocks_per_stream,measured_blocks,measured_rows,measurement_window_ms,aggregate_blocks_per_second,aggregate_rows_per_second,p50_block_latency_ms,p95_block_latency_ms,total_network_bytes,moe_network_bytes,moe_network_bytes_per_row,moe_network_messages,moe_network_messages_per_block,worker_compute_ms,compute_queue_wait_ms,network_queue_wait_ms,task_count_simulated,task_graph_replication_factor,evidence_class
COMMODITY_GOOD,10.0,89,KDA,1,1,A_CURRENT,PASS,2,256,256,256,5381.407345777783,47.57119904718901,47.57119904718901,21.021122444444465,21.021122444444465,360808448,257130496,1004416.0,10752,42.0,5855.338666666666,0.0,0.0,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,1,B_RETAIN_HIDDEN,PASS,2,256,256,256,4465.843200000003,57.32400098597278,57.32400098597278,17.44470000000001,17.44470000000001,309428224,205750272,803712.0,10752,42.0,5855.338666666666,193.15200000000004,946.6889102222322,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,1,C_SLICE_LATENT,PASS,2,256,256,256,4462.988743111115,57.36066450876692,57.36066450876692,17.43354977777779,17.43354977777779,286949376,183271424,715904.0,10752,42.0,5855.338666666666,193.15200000000004,946.6889102222322,348,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,1,D_FUSE_OUTPUT,PASS,2,256,256,256,4168.6015431111155,61.411482328661656,61.411482328661656,16.283599777777795,16.283599777777795,235569152,131891200,515200.0,8960,35.0,5212.851199999998,193.15200000000004,946.6889102222322,345,256,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,8,A_CURRENT,PASS,2,32,256,256,2452.5331275555345,104.38187240926604,104.38187240926604,76.60239999999612,79.56937500000043,360808448,257130496,1004416.0,10752,42.0,5855.338666666749,16661.754716444124,5049.9101586670595,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,8,B_RETAIN_HIDDEN,PASS,2,32,256,256,2452.533127555534,104.38187240926607,104.38187240926607,76.60239999999976,78.5066000000011,309428224,205750272,803712.0,10752,42.0,5855.338666666749,20157.917619333155,4370.405722444761,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,8,C_SLICE_LATENT,PASS,2,32,256,256,2452.533127555534,104.38187240926607,104.38187240926607,76.60239999999976,78.45695000000163,286949376,183271424,715904.0,10752,42.0,5855.338666666749,20157.194428888568,4374.60019888916,31552,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,8,D_FUSE_OUTPUT,PASS,2,32,256,256,1781.4610566666788,143.7022712576192,143.7022712576192,55.606400000000576,56.89207499999972,235569152,131891200,515200.0,8960,35.0,5212.851200000057,13231.23076577802,6955.74975222159,31280,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,32,A_CURRENT,PASS,2,8,256,256,2451.276799999965,104.43537017117106,104.43537017117106,306.4095999999975,308.41282500000295,360808448,257130496,1004416.0,10752,42.0,5855.338666666749,75834.1872884434,17753.070336447032,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,32,B_RETAIN_HIDDEN,PASS,2,8,256,256,2451.276799999961,104.43537017117123,104.43537017117123,306.40959999999893,307.0370250000051,309428224,205750272,803712.0,10752,42.0,5855.338666666749,87978.4692633319,24580.116393557848,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
