operation,rows,sample_index,wall_ms,device_ms,finite_output,production_native_dispatch,timed_checkpoint_reads
worker_local_routed_first_shared_second_fusion,1,0,0.0102,0.013311999849975109,True,True,0
worker_local_routed_first_shared_second_fusion,1,1,0.0101,0.01369599997997284,True,True,0
worker_local_routed_first_shared_second_fusion,1,2,0.0096,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,1,3,0.0104,0.013439999893307686,True,True,0
worker_local_routed_first_shared_second_fusion,1,4,0.0104,0.055743999779224396,True,True,0
worker_local_routed_first_shared_second_fusion,1,5,0.0093,0.012640000320971012,True,True,0
worker_local_routed_first_shared_second_fusion,1,6,0.0098,0.013279999606311321,True,True,0
worker_local_routed_first_shared_second_fusion,1,7,0.0098,0.012864000163972378,True,True,0
worker_local_routed_first_shared_second_fusion,1,8,0.01,0.013376000337302685,True,True,0
worker_local_routed_first_shared_second_fusion,1,9,0.01,0.012768000364303589,True,True,0
worker_local_routed_first_shared_second_fusion,1,10,0.0103,0.013856000266969204,True,True,0
worker_local_routed_first_shared_second_fusion,1,11,0.0096,0.012896000407636166,True,True,0
worker_local_routed_first_shared_second_fusion,1,12,0.0104,0.013504000380635262,True,True,0
worker_local_routed_first_shared_second_fusion,1,13,0.0329,0.036479998379945755,True,True,0
worker_local_routed_first_shared_second_fusion,1,14,0.0107,0.014303999952971935,True,True,0
worker_local_routed_first_shared_second_fusion,1,15,0.01,0.013856000266969204,True,True,0
worker_local_routed_first_shared_second_fusion,1,16,0.0099,0.013728000223636627,True,True,0
worker_local_routed_first_shared_second_fusion,1,17,0.0094,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,1,18,0.0095,0.012927999719977379,True,True,0
worker_local_routed_first_shared_second_fusion,1,19,0.0093,0.013439999893307686,True,True,0
worker_local_routed_first_shared_second_fusion,1,20,0.0096,0.012512000277638435,True,True,0
worker_local_routed_first_shared_second_fusion,1,21,0.0098,0.01283199992030859,True,True,0
worker_local_routed_first_shared_second_fusion,1,22,0.0089,0.011744000017642975,True,True,0
worker_local_routed_first_shared_second_fusion,1,23,0.0384,0.04169600084424019,True,True,0
worker_local_routed_first_shared_second_fusion,1,24,0.0093,0.012703999876976013,True,True,0
worker_local_routed_first_shared_second_fusion,1,25,0.0091,0.012608000077307224,True,True,0
worker_local_routed_first_shared_second_fusion,1,26,0.009,0.012384000234305859,True,True,0
worker_local_routed_first_shared_second_fusion,1,27,0.01,0.013632000423967838,True,True,0
worker_local_routed_first_shared_second_fusion,1,28,0.0099,0.013952000066637993,True,True,0
worker_local_routed_first_shared_second_fusion,1,29,0.0096,0.012160000391304493,True,True,0
worker_local_routed_first_shared_second_fusion,1,30,0.0101,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,1,31,0.0097,0.012480000033974648,True,True,0
worker_local_routed_first_shared_second_fusion,1,32,0.0393,0.0427200011909008,True,True,0
worker_local_routed_first_shared_second_fusion,1,33,0.01,0.013024000450968742,True,True,0
worker_local_routed_first_shared_second_fusion,1,34,0.0099,0.012703999876976013,True,True,0
worker_local_routed_first_shared_second_fusion,1,35,0.0097,0.012736000120639801,True,True,0
worker_local_routed_first_shared_second_fusion,1,36,0.0354,0.038656000047922134,True,True,0
worker_local_routed_first_shared_second_fusion,1,37,0.0096,0.012959999963641167,True,True,0
worker_local_routed_first_shared_second_fusion,1,38,0.0095,0.013055999763309956,True,True,0
worker_local_routed_first_shared_second_fusion,1,39,0.0095,0.012128000147640705,True,True,0
worker_local_routed_first_shared_second_fusion,1,40,0.0098,0.012640000320971012,True,True,0
worker_local_routed_first_shared_second_fusion,1,41,0.0091,0.012256000190973282,True,True,0
worker_local_routed_first_shared_second_fusion,1,42,0.0373,0.040863998234272,True,True,0
worker_local_routed_first_shared_second_fusion,1,43,0.0091,0.012575999833643436,True,True,0
worker_local_routed_first_shared_second_fusion,1,44,0.009,0.012512000277638435,True,True,0
worker_local_routed_first_shared_second_fusion,1,45,0.0093,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,1,46,0.0093,0.012736000120639801,True,True,0
worker_local_routed_first_shared_second_fusion,1,47,0.0094,0.012736000120639801,True,True,0
worker_local_routed_first_shared_second_fusion,1,48,0.0092,0.01244799979031086,True,True,0
worker_local_routed_first_shared_second_fusion,1,49,0.0101,0.014399999752640724,True,True,0
worker_local_routed_first_shared_second_fusion,1,50,0.0091,0.01190400030463934,True,True,0
worker_local_routed_first_shared_second_fusion,1,51,0.0098,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,1,52,0.0097,0.01283199992030859,True,True,0
worker_local_routed_first_shared_second_fusion,1,53,0.0358,0.038975998759269714,True,True,0
worker_local_routed_first_shared_second_fusion,1,54,0.0103,0.03129599988460541,True,True,0
worker_local_routed_first_shared_second_fusion,1,55,0.0099,0.012608000077307224,True,True,0
worker_local_routed_first_shared_second_fusion,1,56,0.011,0.01408000010997057,True,True,0
worker_local_routed_first_shared_second_fusion,1,57,0.0108,0.013535999692976475,True,True,0
worker_local_routed_first_shared_second_fusion,1,58,0.0323,0.035840000957250595,True,True,0
worker_local_routed_first_shared_second_fusion,1,59,0.0102,0.014271999709308147,True,True,0
worker_local_routed_first_shared_second_fusion,1,60,0.0099,0.013856000266969204,True,True,0
worker_local_routed_first_shared_second_fusion,1,61,0.0099,0.01398400031030178,True,True,0
worker_local_routed_first_shared_second_fusion,1,62,0.0097,0.01321600005030632,True,True,0
worker_local_routed_first_shared_second_fusion,1,63,0.0094,0.014015999622642994,True,True,0
worker_local_routed_first_shared_second_fusion,1,64,0.0093,0.012415999546647072,True,True,0
worker_local_routed_first_shared_second_fusion,1,65,0.0096,0.01244799979031086,True,True,0
worker_local_routed_first_shared_second_fusion,1,66,0.0098,0.013024000450968742,True,True,0
worker_local_routed_first_shared_second_fusion,1,67,0.0363,0.039712000638246536,True,True,0
worker_local_routed_first_shared_second_fusion,1,68,0.0093,0.029120000079274178,True,True,0
worker_local_routed_first_shared_second_fusion,1,69,0.009,0.011231999844312668,True,True,0
worker_local_routed_first_shared_second_fusion,1,70,0.0092,0.012256000190973282,True,True,0
worker_local_routed_first_shared_second_fusion,1,71,0.0094,0.01206399966031313,True,True,0
worker_local_routed_first_shared_second_fusion,1,72,0.0095,0.012191999703645706,True,True,0
worker_local_routed_first_shared_second_fusion,1,73,0.0091,0.011615999974310398,True,True,0
worker_local_routed_first_shared_second_fusion,1,74,0.0091,0.01206399966031313,True,True,0
worker_local_routed_first_shared_second_fusion,1,75,0.009,0.012095999903976917,True,True,0
worker_local_routed_first_shared_second_fusion,1,76,0.0092,0.011487999930977821,True,True,0
worker_local_routed_first_shared_second_fusion,1,77,0.0099,0.013055999763309956,True,True,0
worker_local_routed_first_shared_second_fusion,1,78,0.0096,0.01244799979031086,True,True,0
worker_local_routed_first_shared_second_fusion,1,79,0.0097,0.012768000364303589,True,True,0
worker_local_routed_first_shared_second_fusion,1,80,0.0098,0.057312000542879105,True,True,0
worker_local_routed_first_shared_second_fusion,1,81,0.0096,0.012608000077307224,True,True,0
worker_local_routed_first_shared_second_fusion,1,82,0.0097,0.01244799979031086,True,True,0
worker_local_routed_first_shared_second_fusion,1,83,0.0303,0.03440000116825104,True,True,0
worker_local_routed_first_shared_second_fusion,1,84,0.0097,0.012608000077307224,True,True,0
worker_local_routed_first_shared_second_fusion,1,85,0.0094,0.012992000207304955,True,True,0
worker_local_routed_first_shared_second_fusion,1,86,0.0101,0.014047999866306782,True,True,0
worker_local_routed_first_shared_second_fusion,1,87,0.0096,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,1,88,0.0102,0.01375999953597784,True,True,0
worker_local_routed_first_shared_second_fusion,1,89,0.0102,0.013567999936640263,True,True,0
worker_local_routed_first_shared_second_fusion,1,90,0.0349,0.03855999931693077,True,True,0
worker_local_routed_first_shared_second_fusion,1,91,0.0098,0.013472000136971474,True,True,0
worker_local_routed_first_shared_second_fusion,1,92,0.0103,0.013376000337302685,True,True,0
worker_local_routed_first_shared_second_fusion,1,93,0.0103,0.013887999579310417,True,True,0
worker_local_routed_first_shared_second_fusion,1,94,0.01,0.012608000077307224,True,True,0
worker_local_routed_first_shared_second_fusion,1,95,0.0487,0.05222399905323982,True,True,0
worker_local_routed_first_shared_second_fusion,1,96,0.0092,0.012575999833643436,True,True,0
worker_local_routed_first_shared_second_fusion,1,97,0.0093,0.012768000364303589,True,True,0
worker_local_routed_first_shared_second_fusion,1,98,0.0106,0.014816000126302242,True,True,0
worker_local_routed_first_shared_second_fusion,1,99,0.0103,0.013439999893307686,True,True,0
worker_local_routed_first_shared_second_fusion,1,100,0.0095,0.012575999833643436,True,True,0
worker_local_routed_first_shared_second_fusion,1,101,0.0096,0.01283199992030859,True,True,0
worker_local_routed_first_shared_second_fusion,1,102,0.0351,0.03872000053524971,True,True,0
worker_local_routed_first_shared_second_fusion,1,103,0.0091,0.012160000391304493,True,True,0
worker_local_routed_first_shared_second_fusion,1,104,0.0108,0.014368000440299511,True,True,0
worker_local_routed_first_shared_second_fusion,1,105,0.0092,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,1,106,0.0109,0.014911999925971031,True,True,0
worker_local_routed_first_shared_second_fusion,1,107,0.01,0.012992000207304955,True,True,0
worker_local_routed_first_shared_second_fusion,1,108,0.0092,0.012480000033974648,True,True,0
worker_local_routed_first_shared_second_fusion,1,109,0.0094,0.012480000033974648,True,True,0
worker_local_routed_first_shared_second_fusion,1,110,0.0392,0.04255999997258186,True,True,0
worker_local_routed_first_shared_second_fusion,1,111,0.0102,0.0323840007185936,True,True,0
worker_local_routed_first_shared_second_fusion,1,112,0.0098,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,1,113,0.0111,0.014015999622642994,True,True,0
worker_local_routed_first_shared_second_fusion,1,114,0.0107,0.013856000266969204,True,True,0
worker_local_routed_first_shared_second_fusion,1,115,0.0107,0.013376000337302685,True,True,0
worker_local_routed_first_shared_second_fusion,1,116,0.0109,0.014175999909639359,True,True,0
worker_local_routed_first_shared_second_fusion,1,117,0.0106,0.013952000066637993,True,True,0
worker_local_routed_first_shared_second_fusion,1,118,0.0096,0.012671999633312225,True,True,0
worker_local_routed_first_shared_second_fusion,1,119,0.0301,0.03359999880194664,True,True,0
worker_local_routed_first_shared_second_fusion,1,120,0.0102,0.014368000440299511,True,True,0
worker_local_routed_first_shared_second_fusion,1,121,0.0098,0.01408000010997057,True,True,0
worker_local_routed_first_shared_second_fusion,1,122,0.0096,0.01375999953597784,True,True,0
worker_local_routed_first_shared_second_fusion,1,123,0.0093,0.013663999736309052,True,True,0
worker_local_routed_first_shared_second_fusion,1,124,0.0106,0.014495999552309513,True,True,0
worker_local_routed_first_shared_second_fusion,1,125,0.01,0.01375999953597784,True,True,0
worker_local_routed_first_shared_second_fusion,1,126,0.0092,0.012799999676644802,True,True,0
worker_local_routed_first_shared_second_fusion,1,127,0.0092,0.012543999589979649,True,True,0
