split,candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,resident_weights
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,0,32.7903,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,1,32.8066,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,2,33.1548,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,3,33.555,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,4,33.7162,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,5,33.167,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,6,33.7879,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,7,33.0791,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,8,33.0314,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,9,33.6179,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,10,33.2304,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,11,33.1966,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,12,33.1325,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,13,33.1584,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,14,33.2372,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,15,32.8182,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,16,33.4042,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,17,33.1833,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,18,32.5965,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,19,33.1598,True,True,0,True
calibration,layer-45:FULL_MIXED_STRIPE:p8,FULL_MIXED_STRIPE,8,45,KDA,1,20,32.8572,True,True,0,True
