split,layer,layer_type,rows,operation,degree,p50_ms,measurement_kind,production_native_dispatch,timed_checkpoint_reads
calibration,45,KDA,1,attention_common,1,0.050699999999999995,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,attention_preprocess,1,0.3388,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,attention_reduction,8,1.5225,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,attention_shard,8,0.3079,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,expert_reduction,8,1.183,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,expert_stripe,8,0.23620000000000002,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,latent_down,8,0.0447,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,latent_up,8,0.0463,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,output_state_commit,1,0.15115,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,post_attention_preprocess,1,0.3276,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,routed_norm,1,0.13645000000000002,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,routed_shared_reduction,2,1.1742,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,router,1,0.6472,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,shared_expert,8,0.1073,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,1,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,attention_common,1,0.05115,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,attention_preprocess,1,0.5454,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,attention_reduction,8,1.52125,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,attention_shard,8,0.40215,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,expert_reduction,8,1.0752,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,expert_stripe,8,0.39315,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,latent_down,8,0.05,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,latent_up,8,0.0584,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,output_state_commit,1,0.15510000000000002,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,post_attention_preprocess,1,0.54325,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,routed_norm,1,0.1233,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,routed_shared_reduction,2,1.2424,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,router,1,0.6437,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,shared_expert,8,0.12365000000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,2,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,attention_common,1,0.0511,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,attention_preprocess,1,0.9714,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,attention_reduction,8,1.6047500000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,attention_shard,8,0.6811,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,expert_reduction,8,1.466,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,expert_stripe,8,0.6790499999999999,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,latent_down,8,0.0902,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,latent_up,8,0.0815,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,latent_up_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,output_state_commit,1,0.18295,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,post_attention_preprocess,1,0.9783,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,routed_norm,1,0.1302,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,routed_shared_reduction,2,1.2015,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,router,1,0.64645,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,shared_expert,8,0.2192,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,45,KDA,4,shared_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,attention_common,1,0.0867,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,attention_preprocess,1,0.34825,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,attention_reduction,8,1.5127,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,attention_shard,8,0.1987,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,expert_reduction,8,1.183,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,expert_stripe,8,0.2368,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,latent_down,8,0.0443,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,latent_up,8,0.04985,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,output_state_commit,1,0.1533,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,post_attention_preprocess,1,0.33235000000000003,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,routed_norm,1,0.12535000000000002,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,routed_shared_reduction,2,1.1742,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,router,1,0.6397999999999999,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,shared_expert,8,0.10835,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,1,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,attention_common,1,0.0963,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,attention_preprocess,1,0.54495,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,attention_reduction,8,1.51195,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,attention_shard,8,0.28745,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,expert_reduction,8,1.0752,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,expert_stripe,8,0.378,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,latent_down,8,0.0489,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,latent_up,8,0.05835,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,output_state_commit,1,0.15645,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,post_attention_preprocess,1,0.541,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,routed_norm,1,0.1384,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,routed_shared_reduction,2,1.2424,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,router,1,0.6346,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,shared_expert,8,0.1232,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,2,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,attention_common,1,0.17265,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,attention_preprocess,1,0.98235,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,attention_reduction,8,1.601,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,attention_shard,8,0.4851,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,expert_reduction,8,1.466,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,expert_stripe,8,0.66125,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,latent_down,8,0.08595,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,latent_up,8,0.0813,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,latent_up_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,output_state_commit,1,0.1817,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,post_attention_preprocess,1,0.9854,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,routed_norm,1,0.14075,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,routed_shared_reduction,2,1.2015,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,router,1,0.63985,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,shared_expert,8,0.2192,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
calibration,47,GATED_MLA,4,shared_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,attention_common,1,0.05255,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,attention_preprocess,1,0.3562,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,attention_reduction,8,1.5304499999999999,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,attention_shard,8,0.30715,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,expert_reduction,8,1.183,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,expert_stripe,8,0.2373,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,latent_down,8,0.0445,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,latent_up,8,0.04625,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,output_state_commit,1,0.1499,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,post_attention_preprocess,1,0.35755,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,routed_norm,1,0.12890000000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,routed_shared_reduction,2,1.1742,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,router,1,0.6491,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,shared_expert,8,0.10855000000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,1,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,attention_common,1,0.0524,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,attention_preprocess,1,0.58115,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,attention_reduction,8,1.53125,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,attention_shard,8,0.4023,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,expert_reduction,8,1.0752,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,expert_stripe,8,0.3943,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,latent_down,8,0.04925,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,latent_up,8,0.0587,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,output_state_commit,1,0.1556,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,post_attention_preprocess,1,0.5782,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,routed_norm,1,0.13485,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,routed_shared_reduction,2,1.2424,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,router,1,0.6447,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,shared_expert,8,0.12434999999999999,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,2,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,attention_common,1,0.05385,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,attention_preprocess,1,1.0418999999999998,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,attention_reduction,8,1.61335,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,attention_shard,8,0.6829,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,expert_reduction,8,1.466,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,expert_stripe,8,0.6518,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,latent_down,8,0.09165000000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,latent_up,8,0.0814,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,latent_up_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,output_state_commit,1,0.18155,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,post_attention_preprocess,1,1.0334,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,routed_norm,1,0.132,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,routed_shared_reduction,2,1.2015,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,router,1,0.6456500000000001,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,shared_expert,8,0.2187,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,89,KDA,4,shared_reduction,8,1.5376,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,attention_common,1,0.0871,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,attention_preprocess,1,0.35855000000000004,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,attention_reduction,8,1.5126,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,attention_shard,8,0.1982,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,expert_reduction,8,1.183,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,expert_stripe,8,0.22644999999999998,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,latent_down,8,0.0444,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,latent_up,8,0.051699999999999996,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,latent_up_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,output_state_commit,1,0.15365,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,post_attention_preprocess,1,0.35714999999999997,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,routed_norm,1,0.12555,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,routed_shared_reduction,2,1.1742,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,router,1,0.63565,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,shared_expert,8,0.10744999999999999,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,1,shared_reduction,8,1.46,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,attention_common,1,0.09625,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
heldout,91,GATED_MLA,2,attention_preprocess,1,0.57095,FRESH_PHYSICAL_NATIVE_OPERATION,True,0
