split,candidate_id,candidate_type,degree,layer,layer_type,rows,sample_index,wall_ms,device_ms,finite_output,production_native_dispatch,timed_checkpoint_reads,resident_weights,resident_memory_bytes
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,0,4.7587,4.558047771453857,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,1,4.9018,4.669375896453857,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,2,4.8057,4.581056118011475,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,3,4.7914,4.582272052764893,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,4,4.7997,4.56982421875,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,5,4.7506,4.540448188781738,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,6,4.7852,4.579071998596191,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,7,4.8899,4.641088008880615,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,8,4.862,4.630943775177002,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,9,4.7804,4.569727897644043,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,10,4.8462,4.597248077392578,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,11,4.8716,4.571392059326172,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,12,4.7856,4.573760032653809,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,13,4.7647,4.557504177093506,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,14,4.9027,4.6533122062683105,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,15,4.8118,4.5675201416015625,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,16,4.8043,4.591519832611084,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,17,4.8524,4.63267183303833,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,18,4.967,4.749023914337158,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,19,4.1134,3.9025919437408447,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,20,4.2587,3.9937920570373535,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,21,4.2107,3.9601919651031494,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,22,4.1681,3.939552068710327,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,23,4.1729,3.92192006111145,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,24,4.2348,3.9833920001983643,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,25,4.1518,3.924351930618286,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,26,4.1152,3.908128023147583,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,27,4.1605,3.9356160163879395,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,28,4.1808,3.9521920680999756,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,29,4.121,3.916032075881958,True,True,0,True,18285068288
calibration,layer-45:WHOLE_LAYER:p1,WHOLE_LAYER,1,45,KDA,1,30,4.1099,3.913151979446411,True,True,0,True,18285068288
