scenario,network_stress_percent,layer,layer_type,rows,concurrency,arm,status,warmup_blocks_per_stream,measured_blocks_per_stream,measured_blocks,measured_rows,measurement_window_ms,aggregate_blocks_per_second,aggregate_rows_per_second,p50_block_latency_ms,p95_block_latency_ms,total_network_bytes,moe_network_bytes,moe_network_bytes_per_row,moe_network_messages,moe_network_messages_per_block,worker_compute_ms,compute_queue_wait_ms,network_queue_wait_ms,task_count_simulated,task_graph_replication_factor,evidence_class
COMMODITY_GOOD,10.0,89,KDA,1,32,A_CURRENT,PASS,2,8,256,256,2451.276799999965,104.43537017117106,104.43537017117106,306.4095999999975,308.41282500000295,360808448,257130496,1004416.0,10752,42.0,5855.338666666749,75834.1872884434,17753.070336447032,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,32,B_RETAIN_HIDDEN,PASS,2,8,256,256,2451.276799999961,104.43537017117123,104.43537017117123,306.40959999999893,307.0370250000051,309428224,205750272,803712.0,10752,42.0,5855.338666666749,87978.4692633319,24580.116393557848,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,32,C_SLICE_LATENT,PASS,2,8,256,256,2451.276799999961,104.43537017117123,104.43537017117123,306.40959999999893,307.0370250000051,286949376,183271424,715904.0,10752,42.0,5855.338666666749,87978.4692633319,24573.114054002283,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,1,32,D_FUSE_OUTPUT,PASS,2,8,256,256,1779.40480000001,143.86833170282478,143.86833170282478,222.4256000000023,223.32467500000166,235569152,131891200,515200.0,8960,35.0,5212.851200000057,59436.124990444594,36111.979053999166,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,32,A_CURRENT,PASS,2,8,256,512,2641.894400000002,96.90016376127669,193.80032752255337,330.23679999999877,331.92196249999813,721616896,514260992,1004416.0,10752,42.0,7183.31946666667,85461.5822873337,18819.69060910752,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,32,B_RETAIN_HIDDEN,PASS,2,8,256,512,2641.8944000000024,96.90016376127667,193.80032752255335,330.23679999999877,337.7308749999996,618856448,411500544,803712.0,10752,42.0,7183.31946666667,97419.5829146676,27138.21880810975,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,32,C_SLICE_LATENT,PASS,2,8,256,512,2641.8944000000024,96.90016376127667,193.80032752255335,330.23679999999877,337.7308749999996,573898752,366542848,715904.0,10752,42.0,7183.31946666667,97419.5829146676,27131.506374331584,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,2,32,D_FUSE_OUTPUT,PASS,2,8,256,512,1952.5375999999737,131.11143160572348,262.22286321144696,244.06719999999768,248.0578249999978,471138304,263782400,515200.0,8960,35.0,6523.044266666651,68686.63497622103,29955.35797211144,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,A_CURRENT,PASS,2,8,256,1024,3267.6127602223073,78.34465672198667,313.37862688794667,408.131200000018,423.3911249999962,1443233792,1028521984,1004416.0,10752,42.0,10675.556266666974,111340.1282927779,7137.72329188872,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,B_RETAIN_HIDDEN,PASS,2,8,256,1024,3265.0496000000794,78.40615958789532,313.62463835158127,408.131200000018,428.12069999999727,1237712896,823001088,803712.0,10752,42.0,10675.556266666974,132521.0178375558,9203.916324444508,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,C_SLICE_LATENT,PASS,2,8,256,1024,3265.0496000000794,78.40615958789532,313.62463835158127,408.131200000018,428.12069999999727,1147797504,733085696,715904.0,10752,42.0,10675.556266666974,132522.1774606669,9193.658120000146,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,89,KDA,4,32,D_FUSE_OUTPUT,PASS,2,8,256,1024,2566.297600000013,99.75460367495909,399.01841469983634,320.78720000000135,320.81035000000406,942276608,527564800,515200.0,8960,35.0,10005.885866666802,103523.25462277715,6889.204880222384,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,A_CURRENT,PASS,2,8,256,256,2430.707199999964,105.31914333408967,105.31914333408967,303.83839999999327,305.2843000000047,375029760,257130496,1004416.0,10752,42.0,5518.506666666761,74552.59066688892,13271.148784001423,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,B_RETAIN_HIDDEN,PASS,2,8,256,256,2430.707199999955,105.31914333409009,105.31914333409009,303.83839999999327,304.8954250000047,323649536,205750272,803712.0,10752,42.0,5518.506666666761,86829.38428266461,19446.63103500107,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,C_SLICE_LATENT,PASS,2,8,256,256,2430.707199999955,105.31914333409009,105.31914333409009,303.83839999999327,304.8954250000047,301170688,183271424,715904.0,10752,42.0,5518.506666666761,86829.38428266461,19445.315232334422,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,1,32,D_FUSE_OUTPUT,PASS,2,8,256,256,1758.8351999999886,145.55087366912014,145.55087366912014,219.85439999999653,220.5916000000048,249790464,131891200,515200.0,8960,35.0,4876.019200000075,58274.10905533288,32350.65945755923,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,32,A_CURRENT,PASS,2,8,256,512,2618.6111999999903,97.76174485162247,195.52348970324493,327.32639999999265,329.9908500000049,750059520,514260992,1004416.0,10752,42.0,6761.830400000492,82157.38118766645,18148.409981000936,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,32,B_RETAIN_HIDDEN,PASS,2,8,256,512,2618.6111999999903,97.76174485162247,195.52348970324493,327.3263999999913,330.4910625000048,647299072,411500544,803712.0,10752,42.0,6761.830400000492,94687.16163899977,19816.22226344239,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,32,C_SLICE_LATENT,PASS,2,8,256,512,2618.6111999999903,97.76174485162247,195.52348970324493,327.3263999999913,330.4910625000048,602341376,366542848,715904.0,10752,42.0,6761.830400000492,94687.16163899977,19812.319685664523,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,2,32,D_FUSE_OUTPUT,PASS,2,8,256,512,1929.2543999999975,132.6937494609318,265.3874989218636,241.1568000000043,245.15315000000405,499580928,263782400,515200.0,8960,35.0,6101.555200000378,65731.36970711069,30161.943151665826,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,4,32,A_CURRENT,PASS,2,8,256,1024,3244.646400000169,78.8991983841403,315.5967935365612,405.5808000000252,413.54101250001656,1500119040,1028521984,1004416.0,10752,42.0,9994.001066666026,109800.0505547821,10132.179376665516,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,4,32,B_RETAIN_HIDDEN,PASS,2,8,256,1024,3244.6464000001656,78.89919838414039,315.59679353656156,405.5808000000252,421.0595750000165,1294598144,823001088,803712.0,10752,42.0,9994.001066666026,127528.99251278193,15413.44426833341,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,4,32,C_SLICE_LATENT,PASS,2,8,256,1024,3244.6464000001656,78.89919838414039,315.59679353656156,405.5808000000252,421.0595750000165,1204682752,733085696,715904.0,10752,42.0,9994.001066666026,127534.16621589303,15422.319845221955,37120,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
COMMODITY_GOOD,10.0,91,GATED_MLA,4,32,D_FUSE_OUTPUT,PASS,2,8,256,1024,2545.8944000001093,100.55405283109505,402.2162113243802,318.2368000000133,322.1298875000121,999161856,527564800,515200.0,8960,35.0,9324.33066666604,99217.25335789111,13891.024256776542,36800,1,PHYSICALLY_GROUNDED_MODEL_ON_SHAPED_NETWORK
